les the
donne donne
donne give
action action
réseau networking
réseau network
utilisé used
minutes minutes
angleterre england
monuments monuments
mis put
mis mis
rencontre meeting
rencontre meet
rencontre encounter
japon japan
cause cause
cause causes
rien nothing
comte count
comte earl
comte comte
suivante next
hockey hockey
moi me
rome rome
possible possible
principal main
principal principal
référence reference
mettre put
russe russian
russe russe
prince prince
manière way
manière manière
réalisateur director
réalisateur filmmaker
droite right
activité activity
organisation organization
organisation organisation
participe participates
cadre framework
cadre frame
sept seven
sept sept
télévision tv
télévision television
personnage character
cour courtyard
cour court
richard richard
adresse address
vol flight
vol theft
important important
couleur color
couleur colour
élu elected
régiment regiment
régiment regimental
bande band
bande tape
bande gang
bande bande
capitale capital
étape step
étape stage
combat battle
combat fighting
combat combat
combat fight
footballeur footballer
forces strengths
forces forces
nicolas nicolas
nicolas nicholas
possède possesses
possède owns
construit builds
construit constructs
construit constructed
construit built
entrée entrance
entrée entry
présence attendance
présence presence
ceinture belts
ceinture belt
heures hours
heures heures
single single
intérieur inside
intérieur indoor
intérieur interior
olympique olympic
olympique olympique
subdivision subdivision
bernard bernard
qualité quality
lettres letters
patrimoine patrimony
patrimoine heritage
obtient gets
obtient obtains
compositeur songwriter
compositeur composer
von von
abbaye abbaye
abbaye abbey
nuit nuit
nuit night
principalement mostly
principalement mainly
principalement predominantly
principalement primarily
prise taken
avaient had
clubs clubs
scénario screenplay
scénario scenario
scénario script
groupes bands
groupes groups
éléments elements
sociale social
palais palais
palais palace
composé composed
composé compound
vallée valley
vallée vallée
cité cité
cité quoted
pro pro
total total
nationalité nationality
nationalité citizenship
nouveaux new
savoir knowledge
savoir know
proche close
proche near
proche nearby
mot word
main main
main hand
huit huit
huit eight
populaire popular
populaire trending
hôtel hotel
concernant concerning
information information
label label
européenne european
îles islands
peter peter
amour love
bonjour hi
bonjour hello
économique economic
économique economical
lignes lignes
lignes rows
lignes lines
traité treatise
traité treaty
littérature literature
attaque stroke
attaque attack
sol soil
sol sol
sol floor
actuellement currently
reçoit receives
original original
espagnol spanish
composition composition
quatrième fourth
junior junior
comédie comédie
comédie comedy
albert albert
xxe twentieth
xxe xxe
chevalier knight
chevalier chevalier
armes arms
armes weapons
armes firearms
armes guns
principales main
guillaume william
guillaume guillaume
tel such
tel tel
parce because
divers various
divers miscellaneous
décision decision
fit fit
mandat warrant
mandat mandate
isbn isbn
taux rate
taux rates
inscrit registered
inscrit enrolled
rené rené
rené rene
alexandre alexandre
alexandre alexander
portail portal
terrain land
terrain terrain
fonctions function
fonctions functions
fonctions features
fonctions duties
accès access
marché market
alpes alps
alpes alpes
sites sites
sites websites
longueur length
légende caption
légende legend
pense think
arrivée arrival
conditions conditions
commerce commerce
commerce trade
énergie energy
enseignement teaching
enseignement education
seigneur lord
heure hour
heure time
trouver finding
trouver find
localité location
localité locality
arrière back
arrière rear
régime diet
régime regime
black black
moderne modern
moderne modem
longue long
journaliste journalist
journaliste reporter
célèbre famous
doivent must
message message
nos our
certain certain
affaire case
propose proposes
esprit esprit
esprit mind
esprit spirit
suivi follow
suivi tracking
suivi monitoring
relations relationships
relations relations
élève pupil
étudiant student
maria maria
doute doubt
doute doubts
suppression suppression
suppression deletion
suppression removal
suppression deleting
ait ait
aller go
aller going
officier officer
représentant representing
représentant representative
docteur doctor
christian christian
victoires wins
victoires victories
victoires victory
féminin feminine
féminin female
féminin women
semaine week
principe principle
latin latin
victor victor
canadien canadian
utilisée used
pilote driver
pilote pilote
pilote pilot
studio studio
physique physics
physique physical
représente represents
californie california
quoi what
questions questions
brésil brazil
brésil brésil
vieux oldie
vieux old
vieux vieux
faible weak
faible low
pyrénées pyrenees
puissance power
néanmoins nevertheless
néanmoins nonetheless
sœur sis
sœur sister
rendre render
reçu received
reçu receipt
reçu roger
derrière behind
circonscription division
circonscription constituency
val val
religieux religion
religieux religious
archives archives
archives archive
vote vote
vote votes
vote voting
proximité proximity
proximité closeness
proximité vicinity
proximité nearby
alt alt
belle beautiful
belle belle
belle lovely
continue continues
continue continuous
continue continuing
continue continue
colonel colonel
chinois chinese
moscou moscow
amis friends
amis friend
légion legion
légion légion
inclinaison tilt
inclinaison incline
inclinaison inclination
limite limits
limite limit
dernières last
dernières latest
gens people
guitare guitar
guitare guitare
rhône rhone
rhône rhône
noire noire
noire black
max max
existence existence
uniquement only
entière integer
smith smith
contient contains
classé rated
classé classified
classé ranked
classé filed
www www
guy guy
signifie means
construite built
construite constructed
suit follows
lance lance
lance spear
fonds fund
fonds funds
avance advance
grec greek
bordeaux bordeaux
chicago chicago
publie publishes
publie publish
composée composed
somme somme
somme sum
réserve reservation
réserve reserves
réserve reserve
maritime maritime
encyclopédie encyclopédie
encyclopédie encyclopedia
encyclopédie encyclopaedia
hôpital hospital
hôpital hospitals
parler talking
parler talk
parler speak
expression expression
nécessaire needed
nécessaire required
nécessaire necessary
règne reigns
règne reign
soutien support
navires ships
navires vessels
milan milan
milan milano
rive rive
rive shore
animation animation
raymond raymond
portugal portugal
local local
frank frank
olivier oliver
olivier olivier
inde inde
inde india
relation relation
relation relationship
baptiste baptiste
baptiste baptist
manque lack
manque missing
opposition opposition
franco franco
abbé abbe
abbé abbot
abbé abbé
expérience experiment
expérience experience
appelle call
draft draft
marne marne
thème topic
thème theme
arrêté arrested
arrêté discontinued
savoie savoie
savoie savoy
connaissance acquaintance
connaissance knowledge
étoile star
jaune yellow
serbie serbia
tombe falls
tombe tomb
tombe tombe
tombe grave
risque risk
risque hazard
baseball baseball
arabe arab
arabe arabic
arabe arabian
santa santa
civile civil
civile civilian
héros heroes
héros hero
nantes nantes
filles girls
filles babes
filles daughters
midi noon
midi midday
midi midi
officielle official
cap cape
cap cap
absence absence
utilisés used
responsable responsible
responsable maintainer
japonaise japanese
genève genève
genève geneva
remplacé superseded
remplacé substituted
remplacé replaced
villages villages
critiques criticism
critiques critics
critiques reviews
critiques critical
largement widely
réunion meeting
réunion reunion
catégories category
catégories categories
gmina gmina
naturelle natural
plantes plants
nommée named
résidence residence
fusion merger
fusion merge
fusion fusion
fusion melting
critères criteria
commandement commandment
commandement command
jan jan
désigne designates
all all
moyens means
évolue evolves
table table
magnitude magnitude
alliance alliance
obtenu obtained
quel what
contributeurs contributor
contributeurs contributors
événements events
francis francis
atlantique atlantic
cent hundred
cent cent
voiture car
débute begins
débute starts
écrite written
communiste communist
étranger alien
étranger foreigner
étranger stranger
étranger foreign
couple couple
couple torque
mines mining
mines mines
conférence conference
conférence lecture
mains hands
publiée posted
publiée published
xls xls
changement change
telles such
diocèse diocese
rhin rhine
bourg bourg
faveur favor
faveur favour
seuls alone
juge judge
concept concept
titulaire holder
concert concert
douze twelve
douze douze
one one
correspond corresponds
matériel material
matériel hardware
matériel equipment
bras bras
bras arms
bras arm
conduit driven
conduit conduit
visite visit
visite tour
solution solution
volley volley
volley volleyball
informatique computers
informatique computing
mur wall
tourisme tourism
statue statue
construire build
construire construct
liège liege
liège liège
liège cork
utilisant using
tourné turned
tourné filmed
manuel manuel
manuel manual
athlète athlete
bourgogne bourgogne
bourgogne burgundy
destination destination
destination destinations
enfance childhood
cercle circle
mention mention
agence agency
cycle cycle
domaines domains
domaines fields
domaines areas
parlementaire parliamentary
parlementaire parliamentarian
roland roland
élevé high
élevé raised
élevé elevated
xixe xixe
xixe xix
xixe nineteenth
organisé organised
organisé organized
enquête inquiry
enquête investigation
enquête survey
anomalie abnormal
anomalie abnormality
anomalie anomaly
beau beautiful
beau beau
beau handsome
pointe tip
pointe pointe
nancy nancy
caroline caroline
caroline carolina
participer participating
participer participate
test test
test testing
west west
relativement relatively
versions versions
vin vin
vin wine
devenue became
féminine feminine
territoires territories
png png
revanche payback
revanche rematch
revanche revanche
revanche revenge
endroit place
tokyo tokyo
edward edward
publications posts
publications publications
génération generation
expédition expedition
expédition dispatch
expédition shipping
expédition shipment
tribunal tribunal
tribunal court
tribunal courthouse
règle ruler
règle rule
avions aeroplanes
avions airplanes
avions aircraft
avions planes
participants participants
participants attendees
mesures measures
mesures measurements
mesures measurement
occupation occupancy
occupation occupation
administrateur admin
administrateur administrator
vos your
princesse princess
race breed
race race
sûr safe
sûr sure
totalement fully
totalement completely
totalement totally
continentale continental
continentale mainland
ouvre opens
échelle ladder
échelle scale
machine machine
dimanche sundays
dimanche sunday
électronique electronics
électronique electronic
fil feed
fil wire
fil yarn
fil thread
suivre follow
cérémonie ceremony
discours speeches
discours speech
humaine human
usa usa
riche rich
riche wealthy
répondre answer
répondre reply
spectacle show
déclare declares
déclare declare
débat debates
débat discussion
débat debate
mayotte mayotte
disparu vanished
disparu disappeared
disparu faded
disparu missing
rouges reds
rouges rouges
rouges red
productions productions
louise louise
supprimer remove
supprimer delete
harry harry
événement event
fonctionnement operation
fonctionnement functioning
extrême extreme
populations populations
populations population
associé partner
associé associate
élus elected
lancer lancer
lancer pitch
lancer launch
tiers third
porté ported
porté worn
interprète interpreter
interprète performer
interprète interpreting
tony tony
standard switchboard
standard standard
médias media
porter porter
consiste consists
metal metal
boston boston
eric eric
pose poses
pose pose
pose posing
adam adam
matin morning
chefs chiefs
chefs chefs
amateurs amateurs
amateurs amateur
origines origin
origines origins
indépendant independent
indépendant freelance
indépendant independant
commercial commercial
suédois swedish
suédois swede
dames ladies
dames checkers
mini mini
privé private
diffusé broadcasted
finlande finland
texas texas
russes russian
russes russians
pascal pascal
dispute quarrel
dispute argument
dispute dispute
vois see
orbite orbit
championne champ
championne champion
développer develop
développer developing
murs walls
francs francs
francs franc
francs franks
modifications modifications
modifications changes
modifications edits
mario mario
initiative initiative
mathématiques mathematical
mathématiques mathematics
mathématiques maths
mathématiques math
améliorer improving
améliorer upgrade
améliorer improve
sénateur senator
morte morte
morte died
morte dead
rouen rouen
interne internally
interne intern
interne internal
saône saône
ère age
ère ère
présidence chair
présidence presidency
forêts forests
forêts forestry
forêts forest
associations associations
grade grade
grade rank
impériale impériale
impériale imperial
modifier edit
modifier modify
modifier change
baisse decline
baisse decrease
madame madam
madame lady
madame madame
cyclisme cycling
nucléaire nuclear
nucléaire nucléaire
instrument instrument
représentants reps
représentants representatives
grenoble grenoble
roumanie roumanie
roumanie romania
appelés called
considérée considered
proposé suggested
proposé proposed
emmanuel emmanuel
plante plant
plante plante
repris resumed
repris recaptured
boulevard boulevard
réussit succeeds
interdit forbidden
interdit prohibited
interdit banned
entier integer
entier whole
présents present
routes roads
routes routes
routes highways
programmes programs
placé placed
flore flora
noblesse noble
noblesse noblesse
noblesse gentry
noblesse nobility
précise precise
chercher search
classification classification
détruit destroyed
détruit destroys
quartiers neighborhoods
quartiers districts
quartiers neighbourhoods
principes principles
oise oise
chien dog
chien dogs
tenu held
bandeau headband
bandeau blindfold
marqué scored
marqué tagged
marqué marked
roche roche
publiques public
connus known
professionnels professionals
professionnels professional
institutions institutions
voici here
pêche fishery
pêche peach
pêche fisheries
pêche fishing
développe develops
prisonniers prisoners
philosophe philosopher
philosophe philosophe
décidé decided
end sne
end end
coups punches
coups shots
coups coups
coups blows
johnson johnson
hongrois hungarians
hongrois hungarian
pensée thought
pensée thinking
bel bel
utilisées used
relais relais
relais relays
relais relay
exemples examples
étrangers strangers
étrangers aliens
étrangers foreigners
cavalerie cavalry
cavalerie cavalerie
organise organizes
organise organises
industriel industrial
plaine plaine
plaine plain
plaine lowland
plaine plains
perte loss
aires aires
méthodes methods
candidats candidates
candidats candidate
candidats applicants
lauréat winner
lauréat laureate
quitter leave
quitter quit
quitter exit
quitter leaving
définitivement definitely
définitivement permanently
définitivement definitively
établi established
compose compose
collectif collective
compétitions competitions
compétitions contests
anniversaire birthday
anniversaire anniversary
alex xander
alex alex
estime esteem
couverture blanket
couverture cover
couverture coverage
arbres tree
arbres trees
disposition provision
disposition layout
disposition disposition
sénat senate
ray ray
huitième eighth
pos pos
dragon dragon
vandalisme vandalism
affirme asserts
affirme affirms
café coffee
café cafe
café café
inscription inscription
inscription registration
isabelle isabel
isabelle isobel
isabelle isabella
isabelle isabelle
propriétés properties
polonaise polish
polonaise polonaise
procédure procedure
pertes loss
pertes losses
pertes casualties
laval laval
ontario ontario
augmentation increase
augmentation increased
condamné convicted
condamné sentenced
condamné condemned
condamné convict
conservé retained
drame drama
drame tragedy
entretien maintenance
entretien interview
vide void
vide vacuum
vide blank
vide empty
benjamin benjamin
windows windows
organisée organised
organisée organized
organisée curated
sculpture sculpture
chance chance
chance luck
attendre waiting
attendre wait
avignon avignon
amsterdam amsterdam
auvergne auvergne
enregistrement recording
enregistrement registration
quotidien everyday
quotidien daily
peau peau
peau skin
espaces spaces
incendie fire
poule chicken
poule poule
poule hen
succession succession
technologie technology
affluent tributary
clairement clearly
athènes athènes
athènes athens
urbain urban
urbain urbain
xiii xiii
essentiel essential
essentiel essentials
assure ensures
distingue distinguishes
adapté adapted
orgue organ
bulletin newsletter
bulletin bulletin
dépend depends
dépend depend
conséquence consequence
conséquence consequential
souris mice
souris mouse
quinze fifteen
quinze quinze
constituée constituted
samedi saturday
exécution execution
carlo carlo
boîte box
rôles roles
légèrement slightly
légèrement lightly
alice alice
saxe saxe
saxe sachsen
saxe saxony
remarque note
remarque remark
remarque notice
thèmes themes
thèmes topics
rapports reporting
rapports reports
chinoise chinese
pierres stones
pierres stone
pierres rocks
histoires histoires
histoires stories
faites do
faites make
récompense rewards
récompense reward
récompense award
patron patron
patron boss
journaux newspapers
débit flow
débit throughput
débit bitrate
débit debit
araignées spiders
employé employee
installé installed
arabes arab
arabes arabic
arabes arabian
arabes arabs
conserver preserve
conserver retain
conserver keep
latine latin
latine latina
invasion invasion
représenté represented
représenté depicted
expositions exposures
expositions exhibitions
expositions exhibits
expositions exhibition
rappelle recalls
peur afraid
peur scared
peur fear
crime felony
crime crime
chrétienne christian
respect respect
respect compliance
spéciale special
départemental departmental
della della
densité density
aile wing
aile aile
carré carré
carré square
carré squared
juive jewish
juive juive
seuil threshold
loup loup
loup wolf
préparation preparation
préparation preparations
chronologie chronology
chronologie timeline
révolutionnaire revolutionary
bibliographie bibliography
grave serious
grave severe
grave grave
faute fault
faute foul
faute misconduct
brunswick brunswick
poème poem
inférieure lower
inférieure inferior
renommé renamed
renommé renowned
gris gray
gris grey
barbara barbara
danger hazard
danger danger
détail retail
détail detail
détail details
dan dan
hypothèse assumption
hypothèse hypothesis
risques hazards
risques risks
risques risk
renommée renowned
renommée renamed
renommée renown
renommée fame
renommée reputation
franc franc
didier didier
ascension ascension
ascension ascent
jane jane
ailes ailes
ailes wings
ailes wing
machines machinery
machines machines
julie julie
institution institution
présidentielle presidential
compter count
compter counting
pilotes drivers
pilotes pilots
pilotes pilot
rowspan rowspan
colonie colony
besoins need
besoins needs
installer installing
installer install
succède succeeds
poissons poissons
poissons pisces
poissons fish
poissons fishes
coût cost
espoirs espoirs
espoirs hopes
espoirs hope
cellules cell
cellules cells
costumes suits
costumes costumes
johnny johnny
précisément precisely
précisément specifically
angers angers
détails details
détails detail
déclaration statement
déclaration declaration
populaires popular
populaires trending
monaco monaco
mises bets
mises mises
invité invited
invité guest
affiche poster
affiche display
publiés published
mauvaise bad
inventaire inventory
remplacement replace
remplacement replacement
envoie sends
envoie send
traces traces
traces trace
expliquer explaining
expliquer explain
intérêts interests
intérêts interest
marais swamp
marais marais
marais marsh
marais marshes
moines moines
moines monks
stratégie strategy
johann johann
tirs shooting
sarah sarah
compagnies companies
bloc bloc
bloc block
visiteurs visitors
mit mit
mit mlt
facile easy
changements changes
changements change
robin robin
opinion opinion
bonnes good
conflits conflicts
conflits disputes
conflits conflict
cultures crops
cultures cultures
viii viii
limitée limited
andrea andrea
virginie virginie
virginie virginia
partout anywhere
partout everywhere
objectifs objectives
objectifs goals
objectifs aims
écossais scots
écossais scottish
soirée party
soirée evening
soirée night
acquis acquired
sydney sydney
introduit introduced
introduit introduces
nba nba
howard howard
charlie charlie
maires mayors
maires mayor
étrangère foreign
friedrich friedrich
occupé busy
occupé occupied
archéologique archeological
archéologique archéologique
archéologique archaeological
doctorat doctorate
doctorat doctoral
doctorat phd
encyclopédique encyclopédique
mathieu matthew
mathieu mathieu
simples simple
simples singles
fondateurs founders
nez nez
nez nose
nez noses
meurtre murder
meilleures better
meilleures best
queue queue
queue cock
queue tail
queue tails
ivoire ivory
ivan ivan
tenue outfit
revenu revenue
revenu income
confédération confederation
jimmy jimmy
dossier dossier
dossier folder
dossier file
verte verte
verte green
budapest budapest
ambassadeur ambassador
possession possession
viens come
languedoc languedoc
localités localities
localités resorts
quarante forty
hectares hectares
hectares acres
navy navy
douglas douglas
listes list
listes lists
lecteur player
lecteur drive
lecteur reader
idem idem
idem ditto
tire shoot
tire shoots
hop hop
maintenir maintain
maintenir maintaining
maintenir keep
christine christine
majeures majors
sélectionné selected
miller miller
exil exil
exil exile
terminé finished
terminé completed
cambridge cambridge
fixe fixed
fixe landline
sncf sncf
relative relative
cancer cancer
observation observation
dure harsh
dure hard
dure lasts
out out
forum forum
lanceur launcher
lanceur pitcher
alimentation food
alimentation nutrition
empêcher preventing
empêcher prevent
orthodoxe orthodox
pseudonyme alias
pseudonyme nickname
pseudonyme pseudonym
manuscrit manuscrit
manuscrit manuscript
manuscrit scroll
défaites defeat
défaites defeats
régionales regional
naturelles natural
trésor treasure
trésor treasury
fais do
fais fais
bourbon bourbon
franz franz
maritimes maritimes
maritimes maritime
cousin cousin
cousin cuz
vapeur steam
vapeur vapour
stanley stanley
couvre covers
garçon boy
garçon waiter
garçon garçon
transmission transmission
avons avons
présentée presented
sénégal senegal
pluie rain
poitou poitou
extrêmement extremely
neveu nephew
neveu neveu
éventuellement possibly
éventuellement optionally
éventuellement eventually
chronique chronicle
chronique column
chronique chronic
arrivé arrived
préface foreword
préface preface
indépendante independent
tramway tram
tramway trams
tramway tramway
élisabeth élisabeth
élisabeth elizabeth
élisabeth elisabeth
concentration concentration
intention intention
intention intent
précision precision
précision accuracy
juniors juniors
juniors junior
visage facial
visage face
provoque provokes
prononciation pronunciation
logements accommodation
mariée bride
mariée married
admissibilité eligibility
admissibilité admissibility
traditionnel traditional
suprême supreme
musulmans muslim
musulmans muslims
échanges exchanges
échanges trade
procédé process
séjour stay
andy andy
graphique graph
graphique graphic
graphique chart
graphique graphics
efficace efficient
efficace effective
contes tales
contes contes
longs long
votes votes
spectateurs spectators
spectateurs viewers
supplémentaires additional
supplémentaires extra
financière financial
parfaitement perfectly
gagné earned
gagné gagné
gagné won
xviiie xviiie
xviiie eighteenth
den den
créés created
treize treize
treize thirteen
exclusivement exclusively
plat dish
plat flat
bons good
bons vouchers
consensus consensus
troupe troupe
troupe troop
clip clip
augmenter increase
déplacement displacement
différente different
francophones francophone
francophones francophones
musiques musics
musiques music
ibn ibn
signes signs
territoriale territorial
marquée marked
tunis tunis
presses presses
augustin augustine
augustin augustin
syrie syria
playstation playstation
allen allen
riches rich
riches wealthy
pékin beijing
pékin peking
intitulée titled
academy academy
fortune fortunes
fortune fortune
line line
animateur moderator
animateur animator
master master
partielle partial
numéros numbers
giuseppe giuseppe
communal communal
cesse cease
héritier heir
héritier héritier
poursuivre pursue
poursuivre prosecute
poursuivre continue
voile sail
voile sailing
aisne aisne
assassinat murder
assassinat assassination
fernando fernando
wilhelm wilhelm
belges belges
belges belgians
belges belgian
jugement judgement
jugement judgment
cyrillique cyrillic
civils civilian
civils civilians
immeuble building
facteur mailman
facteur postman
facteur factor
rangers rangers
fini finished
spatiale spatial
courts short
toulon toulon
voilà here
voisins neighbors
voisins neighbours
fantasy fantasy
jouant playing
servant serving
irak iraq
producteurs producers
producteurs producer
surnommé dubbed
surnommé nicknamed
ouvrir open
attaché attaché
attaché attached
corporation corporation
gras gras
gras bold
gras fat
gras fatty
hervé hervé
extra extra
apprentissage apprenticeship
apprentissage learning
adopté adopted
arnaud arnaud
filiale subsidiary
limousin limousin
individuel individual
présentant showcasing
présentant introducing
présentant presenting
moto moto
moto motorcycle
moto motorbike
tunnel tunnel
échapper escaping
échapper escape
vertical vertical
équilibre balanced
équilibre balance
équilibre balancing
équilibre equilibrium
variable variable
illustrations illustrations
princes princes
découvertes discovered
découvertes discoveries
découvertes discovery
examen exam
examen review
examen examination
hitler hitler
télé tv
télé television
buenos buenos
voisin neighbour
voisin neighbouring
voisin neighbor
dialogue dialogue
dialogue dialog
annuelle yearly
annuelle annual
toit rooftop
toit roof
entraineur trainer
entraineur coach
personnels personal
wimbledon wimbledon
rythme pace
rythme rhythm
maintien retention
placée placed
refus refusal
refus rejection
refus denial
périodes periods
librairie bookshop
librairie library
librairie bookstore
christianisme christianisme
christianisme christian
christianisme christianity
parcs parks
réélu reelected
civilisation civilization
civilisation civilisation
consacre dedicates
consacre devotes
occuper occupy
silence silence
admis admitted
publier post
publier publishing
publier publish
arguments arguments
arguments argument
parisien parisien
parisien parisian
maxi max
maxi maxi
archéologie archeology
archéologie archaeology
traducteur translator
traducteur translators
autrement otherwise
propositions proposals
propositions propositions
inclus included
two two
journalistes reporters
journalistes journalists
incluant including
clients customers
clients clients
souvenirs memories
souvenirs memory
souvenirs souvenirs
étendue extended
étendue extent
prisonnier prisoner
prisonnier inmate
mar mar
mar tue
précédents precedents
précédents previous
libéré liberated
libéré released
libéré freed
catalogne catalonia
blog blog
square square
municipales municipal
variétés varieties
loisirs recreation
loisirs leisure
liquide liquid
capacités capacities
capacités capacity
capacités capabilities
havre havre
prévue planned
seize sixteen
fermé closed
alphabet alphabet
jordan jordan
dis say
dis dis
philip philip
bureaux offices
bureaux office
ajout addition
ajout adding
ajout add
ajout added
témoin witness
shorts shorts
horreur horror
fenêtre window
inclut include
inclut includes
évènements events
défini defined
clés keys
clés key
revues magazines
revues journals
natale natale
emblème emblem
ours bears
ours bear
wild wild
normes norms
normes standards
récits tales
participant participating
participant contestant
participant participant
dynamique dynamics
dynamique dynamic
démission resigned
démission resignation
démission resign
management management
intéressant interesting
remix remix
remix remixes
fournit provides
bbc bbc
trio threesome
trio trio
communistes communists
communistes communist
obligatoire obligatory
obligatoire required
obligatoire mandatory
obligatoire compulsory
dordogne dordogne
fermée closed
explosion blast
explosion explosion
esclaves slave
esclaves slaves
médecins physicians
médecins doctors
divisé divided
indice index
indice clue
indice hint
comtesse countess
noyau kernel
noyau nucleus
noyau core
familiale family
lisbonne lisbon
morgan morgan
maría maría
maría maria
logiciels software
abréviations abbreviations
moine monk
moine moine
négociations negotiation
négociations negotiating
négociations negotiations
oliver oliver
viande meat
viande meats
escalier stairway
escalier staircase
escalier stair
escalier stairs
diable devil
diable diable
récupérer retrieve
récupérer recover
récupérer reclaim
herbert herbert
berne bern
berne berne
roberto roberto
chante sing
chante sings
talent talent
détruire destroying
détruire destroy
syndrome syndrome
restes remains
restes leftovers
alcool alcohol
centaine hundred
centaine hundreds
inspiration inspiration
sombre dark
nécessite requires
nécessite require
dead dead
écologie ecology
constructions constructions
neuve newfoundland
punk punk
symphonie symphony
différences differences
biographique biographical
biographique biographique
trad trad
considérer consider
délégué delegated
délégué delegate
cahiers notebooks
cahiers booklets
cahiers cahiers
tribus tribes
vraie real
vraie true
astronome astronomer
wikimedia wikimedia
arles arles
difficiles hard
difficiles difficult
coupes cuts
coupes cups
douce sweet
douce gentle
douce freshwater
douce soft
dep dep
descendants descendents
descendants descendants
khan khan
quasiment almost
quasiment virtually
quasiment practically
finlandais finnish
finlandais finns
intervenir intervening
intervenir intervene
enfer hell
districts districts
bell bell
doté endowed
provenance provenance
biologie biology
essayer try
essayer trying
marchés markets
courage courage
courage bravery
moulins windmills
moulins mills
moulins moulins
humour humor
humour humour
battre beat
battre beating
positif positive
positif positives
alimentaire food
démarche approach
démarche gait
barry barry
garros garros
grève strike
qualités qualities
êtes êtes
quatorze fourteen
visibles visible
arménie armenia
warner warner
garçons boys
doctrine doctrine
impérial imperial
onu un
affecté assigned
affecté affected
bouche lips
bouche mouth
bouche mouths
hiérarchie hierarchy
xii xii
terminus terminus
abc abc
exposé exposed
combattre combat
combattre fight
archive archive
protégé protected
protégé sheltered
monter mount
apparait appears
vendée vendée
illustre illustrates
illustre illustrious
pousse push
pousse grows
grant grant
ardennes ardennes
médicale medical
génétique genetic
génétique genetics
ballon balloon
ballon ball
ballon ballon
gérer managing
gérer manage
frappe strike
frappe hits
islamique islamic
phil phil
manager manager
cinématographique cinematographic
cinématographique cinematic
module module
diversité diversity
garnison garrison
résistant resistant
résistant resilient
résistant resistance
investissement investing
investissement investment
investissement investments
incident incident
concerto concerto
tue kills
tue kill
tue slays
entrées entrances
entrées entries
entrées starters
stratégique strategic
réfugiés refugee
réfugiés refugees
cache cache
cache hide
cache hides
égale equal
égale equals
œufs eggs
œufs egg
compagnons companions
compagnons compagnons
adolphe adolph
adolphe adolphe
adolphe adolf
chimiques chemical
chimiques chemicals
noires black
noires noires
parker parker
métropolitaine metropolitan
invite prompt
invite invite
invite invites
anges angels
anges angel
étang pond
étang étang
attente waiting
symboles symbols
symboles symbol
murray murray
accueilli welcomed
accueilli hosted
roumain romanian
affluents tributaries
mali mali
gand ghent
gand gent
gand gand
romane romanesque
romane romane
vive vive
fribourg freiburg
fribourg fribourg
assistance assistance
assistance support
permanente permanent
bière beer
bière beers
