and et
claims revendications
israel israël
israel israel
nine neuf
nine nine
attended participé
winner vainqueur
winner gagnants
winner gagnante
winner gagnant
winner lauréat
initially initialement
architecture architecture
relations relations
tracks morceaux
tracks chenilles
tracks pistes
contract contrat
girl fille
girl fillette
francisco francisco
presented présentés
presented présentées
presented présentée
presented présenté
caused causée
caused causés
caused causé
caused causées
claimed réclamé
claimed prétendu
claimed revendiqué
regiment régiment
represented représentées
represented représenté
represented représentée
represented représentés
branch succursale
branch branche
branch embranchement
adding ajout
adding ajoutant
remains restes
remains demeure
victoria victoria
direct directe
direct directement
direct direct
direct directs
blocked bloquées
blocked bloquée
blocked bloqué
blocked bloqués
launched lancée
launched lancé
launched lancés
chairman président
format formater
format format
failed échec
failed raté
failed échoué
goes goes
camp camp
camp campement
camp camps
owner propriétaire
statistics statistiques
statistics statistique
latin latine
latin latin
latin latines
mind esprit
mind mind
administrative administratif
administrative administratives
administrative administratifs
cast jeté
cast coulée
cast coulé
cast plâtre
joe joe
inside interieur
inside inside
inside intérieur
solid solides
solid massif
solid solide
johnson johnson
forced forcé
forced obligé
forced contraint
forced forcée
looks looks
reasons raisons
photo photo
oxford oxford
hong hong
husband époux
husband mari
necessary nécessaires
necessary nécessaire
believed croyait
musicians musiciens
ontario ontario
nation nation
defense défense
faith faith
faith foi
swedish suédoise
swedish suédoises
swedish suédois
entertainment divertissements
entertainment divertissement
creation création
increased augmentées
increased augmenté
increased augmentation
increased augmentée
squadron escadrille
squadron escadre
squadron escadron
squadron escadrons
details détails
details détail
kept gardé
iran iranienne
iran iran
korea corée
korea coréenne
analysis analyses
analysis analyse
winners lauréats
winners gagnants
winners vainqueurs
cricket criquets
cricket cricket
cricket criquet
exist existent
exist existe
exist exister
fifth cinquième
summary sommaire
summary récapitulatif
summary résumé
piano piano
resolution résolution
alternative alternative
alternative alternatif
republican républicaine
republican républicain
republican républicains
representatives représentants
politicians politiciens
host hôte
suggest proposer
suggest suggérez
suggest suggère
suggest suggérer
hits frappe
hits hits
relevant pertinente
relevant pertinent
relevant pertinentes
relevant pertinents
reports rapports
reports reportages
consider envisager
consider considérer
consider considère
consider considérez
consider considérons
elements éléments
elements eléments
minnesota minnesota
boys garçons
potential potentialités
potential potentiels
potential potentielle
potential potentiel
edited modifié
edited édité
infantry infanterie
philadelphia philadelphie
philadelphia philadelphia
helped aidé
helped aidés
der der
discovered découvert
discovered découverts
discovered découvertes
iron fer
otherwise autrement
otherwise sinon
examples exemples
fish poissons
fish pêcher
fish poisson
senate sénat
gun fusil
gun pistolet
gun arme
gun revolver
plans plans
sweden suède
consists consiste
tag étiquette
tag tag
tag balise
doctor médecin
doctor docteur
stand stand
bob bob
answer réponse
answer répondez
answer répondre
answer reponse
wisconsin wisconsin
lieutenant lieutenant
pretty joli
pretty jolie
pretty jolies
rank grade
rank rang
rank classer
gas gaz
direction direction
guide guide
accepted acceptées
accepted acceptés
accepted acceptée
accepted accepté
animals animaux
activity activité
laws lois
weight poids
ask demander
ask demandez
ask demande
widely largement
expanded élargi
expanded élargie
expanded étendu
expanded agrandi
fame célébrité
fame renommée
fame gloire
fame fame
produce produire
produce produisent
fictional fictive
fictional fictif
actions actions
kansas kansas
fails échoue
nearby proximité
nearby proche
issued émis
issued émises
issued délivrés
issued émise
issued délivré
twenty twenty
twenty vingt
fully complètement
fully pleinement
fully entièrement
fully totalement
leaves feuilles
reach portée
reach atteindre
females femmes
females femelles
publications publications
height taille
height hauteur
honor honneur
honor honorer
deep profond
deep profonds
deep deep
deep profonde
argument argumentation
argument dispute
argument argument
argument arguments
arthur arthur
elizabeth elizabeth
elizabeth élisabeth
worth worth
maryland maryland
zone zone
learning apprendre
learning apprentissage
flag pavillon
flag flag
flag drapeau
flag drapeaux
engineer ingénieur
cars voitures
acquired acquise
acquired acquises
acquired acquis
constructed construite
constructed construit
constructed construits
remain demeurer
remain rester
follows suit
fixed corrigé
fixed fixe
fixed fixes
fixed fixé
fixed réparé
freedom liberté
norway norvège
taylor taylor
rome rome
thank remercier
agreed accepté
agreed convenu
rationale raisonnement
rationale justification
sort tri
sort sorte
sort trier
sri sri
cell cell
cell cellules
cell cellule
concert concert
biography biographie
biography biographiques
loan emprunt
loan prêt
tennessee tennessee
painting peinture
painting peintures
flying volants
flying battant
flying volant
flying voler
join joindre
join rejoignez
join adhérer
join rejoindre
continues poursuit
continues continue
philippines philippines
philippines philippins
revealed révélés
revealed révélé
revealed dévoilé
revealed révélées
revealed révélée
share partage
share share
share part
share partager
share partagez
maria maría
maria marie
maria maria
philosophy philosophique
philosophy philosophie
floor etage
floor étage
floor sol
floor plancher
cancer cancer
offer offrir
offer offre
letters lettres
providing fournissant
classic classic
classic classique
classic classiques
challenge gageure
challenge challenge
challenge contestation
challenge défi
literary littéraire
literary littéraires
transportation transports
transportation transport
kentucky kentucky
arizona arizona
theme thème
interested intéressée
interested intéressés
interested intéressées
interested intéressé
transferred transférées
transferred transférés
transferred transférée
transferred transféré
blank vide
blank vierge
blank blanc
assigned attribué
assigned assignée
assigned assignés
assigned affecté
assigned assignées
assigned assigné
logs grumes
convention convention
joint joint
yards verges
yards yards
agent mandataire
agent agent
animal animale
animal animal
czech tchèque
czech tchèques
titled intitulée
titled intitulé
titled titré
combat combattre
combat combat
wrestling catch
wrestling lutte
wrestling wrestling
wrestling lutter
critics critiques
growing grandir
growing croissant
growing grandissant
growing croissante
establish établir
hands mains
participated participé
materials matières
materials matériaux
materials materiaux
promotion promotion
battalion bataillon
additions ajouts
additions additions
louisiana louisiane
lewis lewis
melbourne melbourne
austria autriche
risk risques
risk risque
legislative législative
legislative législatives
legislative législatif
application application
application candidature
steel acier
presence présence
planning planifier
planning planification
comic comic
comic comique
plus plus
happy heureuses
happy joyeux
happy heureux
happy heureuse
happy joyeuse
acts actes
chance hasard
chance chance
object objet
birds oiseaux
spread propagation
spread répandre
identified identifiée
identified identifié
identified identifiées
identified identifiés
regions régions
sides côtés
teaching enseignement
christmas noël
christmas noel
express exprès
express exprimer
express express
express expresse
connection branchement
connection raccordement
connection connexion
sons fils
sons sons
plot complot
plot parcelle
dates dates
receive reçois
receive reçoivent
receive recevez
receive recevoir
educated éduquée
educated instruit
educated éduqués
educated éduqué
americans américains
introduction introduction
directors administrateurs
directors réalisateurs
directors directeurs
israeli israélien
israeli israélienne
israeli israéliens
israeli israéliennes
northwest northwest
drug drogue
drug médicament
pov pov
minute minute
ideas idées
electronic électroniques
electronic electronique
electronic électronique
unable incapable
sam sam
alabama alabama
surrounding entourant
boat bateau
boat canot
speaking parlant
confirmed confirmé
confirmed confirmées
confirmed confirmés
confirmed confirmée
jesus jésus
jesus jesus
weak faiblesse
weak faible
weak faibles
resulting résultante
resulting résultant
rise rise
spirit esprit
spirit spirit
task tâche
slightly légèrement
discuss discuter
discuss discutez
communications communications
broken brisé
broken broken
broken cassé
broken brisée
broken cassée
haven haven
visual visuelle
visual visuels
visual visuel
visual visuelles
respectively respectivement
concerning concernant
rich riches
rich rich
rich riche
straight hétéro
foot foot
foot pied
foot pieds
brief bref
brief brèves
brief brève
singers chanteurs
singers chanteuses
discussed discuté
quebec québec
quebec québécois
quebec quebec
anthony anthony
anthony antoine
permanent permanente
permanent permanentes
permanent permanent
permanent permanents
audience audience
audience auditoires
audience auditoire
motion motion
motion mouvement
sets ensembles
ranked classés
ranked classées
ranked classé
studios studios
commonwealth commonwealth
scope portée
alan alain
alan alan
objects objets
contest concours
finds trouve
finds trouvailles
coaches autocars
coaches entraîneurs
coaches coachs
extremely extrêmement
ford gué
ford ford
swiss suisses
swiss suisse
houston houston
showed montré
cathedral cathédrale
cathedral cathédrales
broadcasting radiodiffusion
broadcasting diffusion
assessed évaluées
assessed évalué
assessed évaluée
assessed évalués
belgium belgique
respect respect
respect respecter
respect respecte
graduate diplômés
graduate diplômée
graduate diplômé
explain expliquez
explain expliquer
explain explique
neither ni
notify aviser
notify informer
notify avertir
notify notifier
painter peintre
hamilton hamilton
universe universe
universe univers
obvious évident
obvious évidence
obvious évidente
driver pilote
driver conducteur
folk folk
tokyo tokyo
billboard panneau
anne anne
interior interieur
interior intérieur
interior intérieurs
weather temps
weather météorologie
weather météo
weather climat
weather intempéries
preceding précédant
sounds sons
sounds bruits
athletes athlètes
athletes sportifs
cat chats
cat félin
cat chatte
cat chat
cat cat
centuries siècles
valid valables
valid valide
valid valable
valid valides
false faux
false fausse
false false
false fausses
partner associé
partner partenaire
partner associée
partner partenaires
strength résistance
strength solidité
strength force
concern préoccupation
concern préoccupations
concern inquiétudes
concern inquiétude
involving impliquant
gordon gordon
treaty traité
colonial colonial
colonial coloniales
colonial coloniaux
colonial coloniale
determined déterminées
determined déterminée
determined déterminés
determined déterminé
geography géographie
succeeded réussi
physics physique
grey gris
grey grise
philip philippe
philip philip
changing changeant
changing changer
ukraine ukraine
municipalities communes
municipalities municipalités
austrian autrichiennes
austrian autrichien
austrian autrichienne
door porte
princess princesse
princess princess
princess princesses
trail sentier
trail piste
parks parcs
requirements exigences
requirements prescriptions
ltd ltée
ltd ltd
sector secteur
sector sectoriel
agricultural agricole
agricultural agricoles
incorporated incorporés
incorporated incorporé
incorporated incorporées
incorporated incorporée
orders ordonnances
orders commandes
orders ordres
corner corner
corner coin
mrs mme
mrs mrs
subjects sujets
spacewatch spacewatch
remember mémoriser
remember souviens
promote promouvoir
learn apprenez
learn apprendre
learn apprends
sufficient suffisantes
sufficient suffisants
sufficient suffisamment
sufficient suffisant
sufficient suffisante
persons personnes
fought combattu
derived dérivé
derived dérivée
derived dérivées
flow flux
flow débit
flow flow
flow écoulement
generate génère
generate générer
establishment etablissement
establishment établissement
selling vendre
budget budgétaire
budget budget
battles batailles
sky sky
sky ciels
sky ciel
legend légendes
legend légende
ryan ryan
zero zero
zero zéro
converted convertis
converted convertie
converted converti
significantly significativement
significantly sensiblement
controlled contrôlées
controlled contrôlés
controlled contrôlée
controlled contrôlé
welsh galloise
welsh gallois
welsh welsh
dropped chuté
resistance résistance
resistance résistant
resistance resistance
resistance résistants
resistance résistances
engines moteurs
medium moyen
medium moyennes
medium médium
medium moyenne
medium milieu
enter entrer
enter entrez
enter saisir
enter saisissez
receiving recevant
receiving recevoir
signal signaux
signal clignotant
signal signal
reform reforme
reform réformer
reform réforme
reform réformes
indicate indiquez
indicate indiquer
gay homosexualité
gay gay
gay homosexuel
amateur amateurs
amateur amateur
montreal montréal
montreal montreal
turns virages
walker walker
walker rôdeur
entrance entrée
nice sympa
nice gentil
nice joli
nice jolie
nice nice
influenced influencé
influenced influencées
influenced influencée
influenced influencés
occur survenir
abandoned abandonnés
abandoned abandonné
abandoned abandonnées
abandoned abandonnée
humans humains
flat plats
flat plat
strongly fortement
attorney avocat
attorney avocate
thinking réfléchir
thinking pensant
thinking pensée
thinking penser
surname nom
surname patronyme
brain cerveaux
brain cérébrale
brain cerveau
brain cervelle
blog blog
blog blogue
conservation préservation
conservation conservation
maps cartes
arguments argumentation
arguments arguments
focused concentré
focused concentrée
readers lecteurs
carl carl
violation violation
violation infraction
circle cercle
invasion envahir
invasion invasion
invasion invasions
determine déterminer
determine détermine
formal formels
formal formel
formal formelle
seconds secondes
seconds seconds
doubt doute
doubt doutes
doubt douter
doubt doutez
golf golf
walls murs
productions productions
closely étroitement
occurs survient
representing représenter
representing représentant
tank réservoir
tank tank
tank citerne
tank cuve
senator sénateur
senator sénatrice
lawyer avocat
lawyer juriste
lawyer avocate
saints saintes
saints saints
runner runner
runner coureur
matt matt
matt matthieu
matt mat
hollywood hollywood
medals médailles
reader lecteur
voting vote
voting voter
voting votants
perfect parfaits
perfect parfait
perfect parfaites
perfect parfaite
baltimore baltimore
commune commune
scenes scènes
broad large
streets rues
billy billy
lands terres
interests intérêts
closing fermer
closing clôture
closing fermeture
advertising publicitaire
advertising publicité
advertising publicités
maine maine
scientists scientifiques
blocks blocages
blocks blocs
anniversary anniversaire
explained expliqués
explained expliqué
explained expliquée
hampshire hampshire
creative créatifs
creative créative
creative créatif
maintain maintenir
pierre pierre
detailed détaillées
detailed détaillée
detailed détaillé
facts faits
frame ossature
frame cadre
assistance assistance
sale soldes
sale vente
supposed supposés
supposed supposée
supposed supposé
cabinet armoire
cabinet cabinet
bytes bytes
bytes octets
ross ross
citations citations
lakes lacs
lakes laques
mail courrier
mail mail
electoral électorale
emergency urgence
emergency urgences
heads tête
heads têtes
funds fonds
reduce réduire
trophy trophée
trophy trophy
trophy trophées
walk marche
walk promenade
walk balade
walk marcher
snow neige
snow snow
coal houille
coal charbon
inhabitants habitants
employees employés
employees collaborateurs
employees salariés
measure mesurer
measure mesure
animated animées
animated animé
animated animés
animated animée
johnny johnny
combination combinaison
sequence séquences
sequence séquence
describe décrivez
describe décrire
islam islam
photos photos
photos photographies
affected affectée
affected affectés
affected touchés
affected touchée
affected affecté
affected touché
ministers ministres
carlos carlos
mps parlementaires
mps députés
sarah sarah
edinburgh edimbourg
edinburgh édimbourg
dallas dallas
degrees degrés
degrees diplômes
degrees degré
bachelor célibataire
bachelor bachelor
bachelor baccalauréat
vision vision
vertical verticales
vertical verticalement
vertical verticaux
vertical vertical
vertical verticale
updated actualisé
jason jason
consisted consistait
plane avion
nova nova
ceremony cérémonie
composers compositeurs
nazi nazie
nazi nazi
nazi nazis
liverpool liverpool
welcome bienvenues
welcome bienvenue
welcome bienvenus
welcome bienvenu
consecutive consécutifs
consecutive consécutif
consecutive consécutives
consecutive consécutive
movies films
movies cinéma
movies ciné
adjacent adjacents
adjacent contiguës
adjacent adjacentes
adjacent adjacente
adjacent adjacent
document document
leg patte
leg jambes
leg cuisse
leg jambe
videos vidéos
expand étendre
expand agrandir
expand développez
expand élargir
bible biblique
bible bible
matthew matthew
matthew mathieu
matthew matthieu
thorough minutieux
thorough minutieuse
drivers chauffeurs
drivers conducteurs
drivers pilotes
drivers conducteur
franklin franklin
venue lieu
rejected rejetées
rejected refusées
rejected refusé
rejected rejetés
rejected rejetée
rejected rejeté
relative relatif
relative relative
relative parent
colour couleur
colour coloris
colour couleurs
manufacturing fabrication
testing essai
testing test
testing essais
testing tests
testing tester
coastal côtières
coastal littoral
coastal côtier
coastal côtière
rescue secours
rescue sauvetage
rescue sauveteurs
notably notamment
gardens jardins
sentences phrases
birmingham birmingham
gulf golfe
gulf gulf
reasonable raisonnable
reasonable raisonnablement
reasonable raisonnables
committed engagée
committed engagés
committed commis
committed engagé
hundreds centaines
hundreds centaine
phrase phrase
suicide suicide
suicide suicides
advantage avantage
automatically automatiquement
goods marchandises
goods marchandise
goods biens
charges charges
fred fred
producers producteurs
campbell campbell
latest dernier
latest dernières
latest derniers
latest dernière
crossing croisement
crossing franchissement
crossing traverser
crossing traversée
poets poètes
strategy stratégie
ranking classement
wright wright
residential résidentiel
residential résidentielle
residential résidentiels
associate associé
associate associés
associate associée
associate associer
friendly amicale
friendly sympathique
friendly convivial
friendly amical
redirects redirections
artistic artistiques
artistic artistique
safe sécuritaire
safe sûr
safe coffre
festivals festivals
festivals fêtes
png png
monitoring surveillance
monitoring suivi
nba nba
drew drew
brooklyn brooklyn
moth papillon
wounded blessé
wounded blessée
wounded blessées
wounded blessés
racial raciale
marshall marshall
contrast contrastes
contrast contraste
continuing continuer
continuing continue
terminal terminal
terminal terminaux
spouse conjoint
spouse époux
spouse conjoints
spouse epouse
spouse épouse
painters peintres
properly correctement
shaped façonné
shaped façonnés
shaped façonnée
waters eaux
waters waters
ridge dorsale
ridge ridge
ridge arête
ridge crête
ceo pdg
assessment évaluation
assessment appréciation
counter compteur
counter comptoir
closure bouclage
closure clôture
closure fermeture
fishing peche
fishing pêcher
fishing pêche
broadway broadway
roughly grossièrement
tech tech
bat bat
bat batte
robin robin
hired engagée
hired engagés
hired embauché
hired embauchés
hired engagé
participation participation
technique technique
alberta alberta
clerk clerc
clerk greffier
clerk commis
narrow étroite
narrow étroits
narrow étroites
narrow étroit
adapted adaptée
adapted adaptés
adapted adaptées
adapted adapté
credited crédités
credited crédité
dating rencontres
bomb bombe
bomb bombes
poem poème
charged débité
charged inculpé
charged facturés
charged chargé
propose proposer
modified modifié
modified modifiée
modified modifiées
modified modifiés
fired virée
fired viré
fired virés
send envoie
send envoyez
send envoi
send envoyer
licensed licencié
licensed agréé
costa costa
unfortunately hélas
unfortunately malheureusement
indians indiens
thousand millier
thousand mille
thousand milliers
vancouver vancouver
beauty beauté
credits générique
credits crédits
organisations organisations
serbia serbie
christianity chrétienté
christianity christianisme
tribe tribu
richmond richmond
baker boulanger
baker baker
allied alliés
allied allié
allied allied
allied alliées
allied alliée
anime animé
anime anime
colors coloris
colors couleurs
indicates indique
ownership appropriation
ownership propriété
shore rive
shore rivages
shore shore
shore rivage
nebraska nebraska
tone tonalité
tone tonus
indigenous indigènes
indigenous indigène
indigenous autochtone
transit transit
jay jay
guinea guinée
guinea guinéen
guinea guinéenne
horror horreur
apple pommier
apple pommes
apple apple
apple pomme
occasionally occasionnellement
occasionally parfois
starred étoilé
critic critique
laboratory laboratoire
laboratory laboratoires
offering offrir
offering offrant
offering offrande
accurate exacte
accurate précises
accurate précis
symphony symphonique
symphony symphonie
promotional promotionnel
promotional promotionnelles
promotional promotionnels
tags identifications
tags balises
tags étiquettes
tags tags
remix remix
gang gang
gang bande
printed imprimé
printed imprimée
printed imprimées
printed imprimés
warner avertisseur
warner warner
quote cotation
quote citation
quote devis
quote citer
quote cite
glasgow glasgow
battery batterie
battery pile
battery accumulateur
shopping achats
shopping shopping
patrol patrouilles
patrol patrouiller
patrol patrouille
eagle eagle
eagle aigle
indicated indiquée
indicated indiqués
indicated indiqué
centers centres
delivered livrés
delivered livrée
delivered délivré
delivered livré
components composants
components composantes
kids enfants
barbara barbara
circumstances circonstances
repeated répétés
repeated répétée
repeated répété
repeated répétées
similarly pareillement
amendment amendement
amendment modification
habitat habitats
habitat habitat
philippine philippin
philippine philippins
philippine philippine
philippine philippines
montana montana
signs signes
signs panneaux
seriously sérieux
seriously sérieusement
seriously serieux
bristol bristol
mitchell mitchell
industries industries
colombia colombie
comparison comparatif
