des of
marie marie
marie mary
marie maria
chez at
discuter chatting
discuter discuss
discuter chat
car because
projet project
chaque every
chaque each
anglais english
province province
john john
international international
conseil consulting
conseil advice
conseil council
maison house
maison home
cela this
cela that
demande request
demande ask
fonction function
toujours always
toujours still
doit must
production production
certains some
membre member
meilleur better
meilleur meilleur
meilleur best
droit right
droit law
mois months
mois month
service service
jacques jacques
score score
ensuite then
langue language
dit said
dit says
gouvernement government
center center
elles elles
elles they
petit small
petit petit
petit little
toutes all
argent money
argent silver
argent cash
souvent frequently
souvent often
style style
style styling
face face
olympiques olympic
olympiques olympics
quand when
top top
ministre minister
mondiale worldwide
mondiale world
mondiale global
ensemble ensemble
ensemble together
toute all
asp asp
nombreux many
nombreux numerous
auteur author
auteur writer
cependant however
nous we
nous us
stade stade
stade estadio
stade stadium
stade stage
tard late
reste stay
seconde second
roman roman
jours days
hui hui
hui today
historique historic
historique historical
historique history
sera will
permet allows
robert robert
officiel official
officiel officiel
environ approximately
effet effect
version version
membres member
membres membership
membres members
niveau level
champion champ
champion champion
michel michael
michel michel
raison reason
travail work
femme women
femme woman
femme female
femme wife
cinq five
cinq cinq
bas stockings
bas low
bas bas
texte text
terre earth
terre land
terre terre
terre soil
allemagne germany
allemand german
allemand allemand
britannique uk
britannique british
porte gate
porte porte
porte door
hommes men
hommes males
italie italy
bataille battle
corps body
corps corps
demi half
demi demi
personnes persons
personnes people
route route
route highway
route road
finale finale
finale final
finale finals
jeune young
match game
match match
peuvent can
york york
royaume kingdom
royaume realm
royaume royaume
ceux those
long long
latitude latitude
base base
base basis
association association
militaire military
section section
longitude longitude
bronze bronze
livre book
livre pound
livre livre
haut high
haut top
suisse switzerland
suisse swiss
canada canada
valign valign
suivant following
suivant next
beaucoup many
beaucoup much
dire say
seul alone
seul only
parmi among
fille girl
fille daughter
buts aims
buts goals
enfants kids
enfants children
enfants childrens
direction direction
direction directorate
position position
pouvoir power
but goal
but purpose
ailleurs elsewhere
merci thanks
territoire territory
union union
construction construction
ancienne ancient
ancienne old
ancienne former
premiers first
prend take
prend takes
maire maire
maire mayor
ligue league
public public
pages pages
pages page
externe external
externe outpatient
simple simple
simple singles
henri henry
henri henri
chanson chanson
chanson songs
chanson song
poste post
culture culture
sortie output
sortie outing
sortie exit
sortie out
empire empire
david david
loi law
loi act
mer sea
haute high
haute haute
vue view
espagne spain
fichier file
nombreuses many
nombreuses numerous
acteur actor
parcours route
parcours journey
recherche search
recherche research
classement ranking
classement classification
code code
double double
double duplicate
double dual
web web
arrondissement arrondissement
arrondissement borough
directeur director
directeur manager
joseph joseph
semble seems
semble appears
ici here
vainqueur winner
existe exist
existe exists
six six
devant front
devant devant
petite small
petite little
petite petite
bois wood
bois drink
bois timber
entreprise business
entreprise company
entreprise enterprise
retour throwback
retour return
retour back
principale main
principale principal
sainte sainte
sainte holy
sainte saint
second second
gare station
terme term
terme terme
connu known
formation training
arts arts
technique technical
technique technique
etc etc
objet object
objet purpose
objet subject
mon my
mon mon
philippe philippe
philippe philip
question question
lorsque when
plan map
plan plan
van van
serait would
œuvres artworks
œuvres works
zone zone
zone area
compagnie company
italien italian
championnats championships
laquelle which
films films
films movies
surtout especially
surtout mostly
parfois sometimes
parfois occasionally
sources sources
sources source
parc parc
parc park
moyenne average
moyenne medium
mouvement motion
mouvement movement
jamais never
jamais ever
martin martin
claude claude
moyen medium
moyen average
san san
notre our
bon good
peintre painter
voix votes
voix voices
voix vocals
voix voice
rouge red
rouge rouge
district district
seulement only
pont pont
pont bridge
pont deck
libre free
libre libre
air air
sein breast
milieu middle
milieu medium
milieu midfielder
festival festival
belgique belgium
belgique belgique
grands large
georges george
georges georges
blanc white
blanc blank
gauche left
travaux work
travaux works
donne donne
donne give
passe passes
passe pass
passe passe
produit product
diffusion broadcast
diffusion diffusion
diffusion broadcasting
diffusion dissemination
aide aid
aide help
action action
font font
victoire win
victoire victory
victoire victoire
femmes females
femmes female
femmes women
minutes minutes
aurait would
autour around
belge belge
belge belgian
certaines certain
certaines some
angleterre england
afrique africa
monuments monuments
sens sens
sens meaning
sens senses
sens sense
personne person
personne nobody
mis put
mis mis
suis am
rencontre meeting
rencontre meet
rencontre encounter
trop too
matchs matches
japon japan
domaine field
domaine domain
domaine area
eux them
eux they
professeur professor
professeur teacher
particulier particular
quartier neighborhood
quartier neighbourhood
scientifique science
scientifique scientist
scientifique scientific
honneur honour
honneur honor
seule alone
seule only
cause cause
cause causes
rien nothing
nouvelles news
nouvelles new
iii iii
administration administration
comte count
comte earl
comte comte
suivante next
fort strong
fort fort
hockey hockey
journal newspaper
journal timeline
journal journal
journal diary
moi me
rome rome
possible possible
dix dix
dix ten
taille waist
taille height
taille sizes
taille size
sport sport
sport sports
principal main
principal principal
sujet topic
sujet subject
croix crosses
croix croix
croix cross
mettre put
titres securities
titres titles
enfin finally
millions million
millions millions
noir dark
noir noir
noir black
joue cheek
joue plays
londres london
moment moment
chapelle chapelle
chapelle chapel
russe russian
russe russe
prince prince
monument monument
sciences science
sciences sciences
radio radio
classe classroom
classe class
classe classy
aucun none
aucun no
droite right
lieux venues
lieux locations
lieux places
actuel current
actuel present
espace space
villes city
villes cities
fer fer
fer iron
commence begins
commence starts
organisation organization
organisation organisation
assez enough
participe participates
institut institute
institut institut
james james
internationale international
internationale internationale
cadre framework
cadre frame
sept seven
sept sept
lac lake
lac lac
affaires business
duc duke
duc duc
personnage character
cour courtyard
cour court
richard richard
adresse address
php php
william william
thomas thomas
ball ball
hors off
hors hors
finalement eventually
finalement finally
bonne good
nature nature
grandes large
grandes grandes
michael michael
vol flight
vol theft
port port
port harbour
discussion discussion
discussion chat
dame lady
dame dame
historiques historic
historiques historical
axe axe
axe axis
mesure measuring
mesure measurement
mesure measure
prendre taking
prendre take
important important
lequel which
george george
force strength
force force
pologne poland
pologne pologne
couleur color
couleur colour
collection collection
actrice actress
station station
loire loire
bande band
bande tape
bande gang
bande bande
capitale capital
combat battle
combat fighting
combat combat
combat fight
footballeur footballer
forces strengths
forces forces
royal royal
aucune none
aucune no
russie russie
russie russia
nicolas nicolas
nicolas nicholas
presse press
construit builds
construit constructs
construit constructed
construit built
tournoi tournament
passage passage
revue journal
revue revue
revue magazine
revue review
jeunes youth
jeunes young
course race
course racing
ceinture belts
ceinture belt
meilleure better
meilleure best
tableau table
heures hours
heures heures
services services
marque brand
marque trademark
marque mark
single single
toutefois however
locales local
olympique olympic
olympique olympique
subdivision subdivision
bernard bernard
langues languages
langues language
propre own
propre clean
chine chine
chine china
politiques policies
politiques policy
politiques politics
lettres letters
patrimoine patrimony
patrimoine heritage
com com
tours towers
tours tours
obtient gets
obtient obtains
compositeur songwriter
compositeur composer
joueurs players
joueurs gamers
joueurs player
lyon lyon
von von
mal wrong
mal bad
mal mal
mal evil
rock rock
abbaye abbaye
abbaye abbey
nuit nuit
nuit night
principalement mostly
principalement mainly
principalement predominantly
principalement primarily
prise taken
bretagne bretagne
bretagne brittany
avaient had
clubs clubs
voit sees
vitesse velocity
vitesse speed
chemin path
chemin road
centrale central
statut status
statut statute
groupes bands
groupes groups
avis notices
avis opinion
avis notice
avis avis
salle room
carte map
sociale social
travers travers
valeur value
utilisation usage
utilisation use
allemande german
allemande allemande
palais palais
palais palace
situation situation
droits rights
court short
anciens ancient
anciens old
anciens alumni
rugby rugby
basse bass
basse low
pro pro
occasion occasion
total total
chambre room
chambre bedroom
nouveaux new
savoir knowledge
savoir know
glace ice
originale original
proche close
proche near
proche nearby
mot word
main main
main hand
huit eight
populaire popular
populaire trending
critique criticism
critique critique
critique critic
critique critical
del del
publication post
publication publication
publication publishing
dieu god
uni uni
japonais japanese
australie australian
australie australia
concernant concerning
catholique catholic
catholique catholique
mission mission
https https
accord accord
accord chord
accord agreement
campagne countryside
campagne campaign
rapidement quick
rapidement fast
rapidement quickly
traduction translations
traduction translation
anne anne
anne ann
programme program
programme programme
bgcolor bgcolor
importante important
choix selection
choix choices
choix choice
coup blow
coup shot
enfant child
enfant children
information information
mieux better
maurice mauritius
maurice maurice
vice vice
noms names
noms name
produits product
produits products
internet internet
label label
hiver winter
fondation foundation
troupes troops
file queue
antoine anthony
antoine antony
antoine antoine
daniel daniel
cœur heart
cœur core
cœur hearts
pris caught
pris took
pris taken
marine navy
marine marine
peter peter
juste just
der der
vient comes
seine seine
amour love
faisant doing
mont mount
mont mont
statistiques statistics
statistiques stats
science science
personnages characters
bonjour hi
bonjour hello
marc marc
altitude altitude
altitude elevation
lignes lignes
lignes rows
lignes lines
montre watch
montre show
attaque stroke
attaque attack
records records
principaux main
sol soil
sol sol
sol floor
ouvrage ouvrage
actuellement currently
pourrait could
pourrait might
fond bottom
fond background
format format
mode fashion
mode mode
original original
espagnol spanish
producteur producer
artiste artist
composition composition
los los
garde garde
garde guard
garde custody
votre your
junior junior
police font
police police
albert albert
bruxelles bruxelles
bruxelles brussels
empereur emperor
xxe twentieth
infanterie infanterie
infanterie infantry
rejoint joined
rejoint joins
chevalier knight
chevalier chevalier
armes arms
armes weapons
armes firearms
armes guns
livres books
livres livres
principales main
unique single
unique unique
capitaine captain
large wide
large broad
guillaume william
guillaume guillaume
tel such
tel tel
parce because
commission commission
divers various
divers miscellaneous
tels such
actuelle current
classique classical
classique classic
fit fit
mandat warrant
mandat mandate
berlin berlin
isbn isbn
taux rate
taux rates
surface surface
architecture architecture
inscrit registered
inscrit enrolled
transport transportation
transport transport
sort spell
alexandre alexandre
alexandre alexander
oui yes
oui yeah
annonce announcement
annonce ad
annonce advertisement
pratique convenient
pratique practice
pratique practical
conseiller adviser
conseiller consultant
conseiller counsellor
conseiller advisor
portail portal
terrain land
terrain terrain
usage usage
comprend understands
comprend includes
tennis tennis
donner donner
donner donate
donner give
chose thing
fonctions function
fonctions functions
fonctions features
fonctions duties
informations information
charge load
charge charge
charge payload
alpes alps
alpes alpes
sites sites
sites websites
basket basket
basket basketball
utiliser using
utiliser use
longueur length
pense think
vingt twenty
vingt vingt
conditions conditions
protection protection
commerce commerce
commerce trade
influence influence
devenu became
publique public
petits petits
petits small
parties parts
parties parties
fiction fiction
structure structure
laurent laurence
laurent david
laurent laurent
laurent lawrence
jeunesse youth
passer passing
passer pass
enseignement teaching
enseignement education
seigneur lord
veut wants
exposition exhibit
exposition exhibition
exposition exposure
poids weights
poids weight
heure hour
heure time
feu fire
italienne italian
atteint reached
atteint achieved
profession profession
profession occupation
trouver finding
trouver find
voyage travel
voyage journey
voyage trip
logo logo
gestion management
permettant enabling
derniers last
derniers latest
black black
henry henry
autriche austria
couleurs color
couleurs colour
couleurs colours
couleurs colors
comment how
nations nations
central central
signe sign
orchestre band
orchestre orchestra
concours contest
concours competitions
concours competition
concours contests
moderne modern
moderne modem
longue long
termine finish
wikipedia wikipedia
phase phase
journaliste journalist
journaliste reporter
record record
doivent must
musical musical
mariage marriage
mariage wedding
devenir become
devenir becoming
svg svg
powiat powiat
architecte architect
architecte architects
message message
artistes artist
artistes artists
constitution constitution
nos our
roger roger
presque almost
presque nearly
certain certain
affaire case
propose proposes
esprit esprit
esprit mind
esprit spirit
suivi follow
suivi tracking
suivi monitoring
moteur engine
moteur motor
relations relationships
relations relations
ouverture opening
ouverture openness
ouverture open
alain michael
alain alain
alain alan
alain david
vienne vienna
galerie gallery
parlement parliament
parlement parlement
zip zip
maria maria
techniques technical
techniques techniques
doute doubt
doute doubts
suppression suppression
suppression deletion
suppression removal
suppression deleting
ait ait
ami ami
ami friend
super great
super super
super awesome
arrive arrives
images images
images pictures
magazine magazine
don donation
don donate
don don
pourquoi why
aller go
aller going
officier officer
note note
note footnote
hauteur height
morts dead
morts deaths
camp camp
secteur sector
probablement probably
probablement likely
social social
saisons seasons
saisons season
temple temple
importance importance
importance significance
maintenant now
forte forte
forte strong
conflit conflicts
conflit conflict
conflit dispute
commandant major
commandant commander
meurt dies
ben ben
docteur doctor
christian christian
gouverneur governor
artistique art
artistique artistic
loin far
loin away
utilise use
utilise uses
bassin pelvis
bassin basin
victoires wins
victoires victories
victoires victory
rend rend
rend renders
rend makes
bureau office
bureau desktop
contrat contract
romain romain
romain roman
professionnel professional
marseille marseille
marseille marseilles
arbitre arbitrator
arbitre referee
arbitre ref
arbitre umpire
justice justice
directement direct
directement directly
appel appeal
appel call
semaine week
pied foot
you you
chanteur singer
neuf nine
photographie photograph
photographie photography
principe principle
latin latin
victor victor
connue known
bord onboard
bord edge
bord bord
distribution distribution
environnement environment
canadien canadian
entreprises business
entreprises companies
entreprises enterprises
entreprises businesses
automobile automobile
automobile automotive
train train
lieutenant lieutenant
textes text
textes texts
royale royale
royale royal
pilote driver
pilote pilote
pilote pilot
studio studio
reine queen
patrick patrick
chacun each
physique physics
physique physical
auteurs writers
auteurs authors
chansons songs
compris included
compris understood
via via
via through
californie california
volume volume
militaires military
pape pape
pape pope
quoi what
questions questions
parle parle
parle speaks
parle talk
parle speak
courant current
lire read
lire reading
ouvrages books
industrie industry
lettre letter
terres lands
terres land
denis dennis
denis denis
man man
piste track
piste runway
piste trail
paix peace
vieux oldie
vieux old
vieux vieux
faible weak
faible low
participation attendance
participation turnout
participation participation
puissance power
zones zones
zones areas
final final
simon simon
formule formula
sœur sis
sœur sister
rendre render
puisque since
locale locale
locale local
piano piano
gros big
gros fat
gros wholesale
montagne mountain
montagne mountains
diverses miscellaneous
diverses various
diverses diverse
front front
front forehead
front brow
circonscription division
circonscription constituency
marcel marcel
champ field
champ champ
val val
religieux religion
religieux religious
archives archives
archives archive
vote vote
vote votes
vote voting
projets projects
formes forms
formes shapes
romaine romaine
romaine roman
alt alt
obtenir getting
obtenir obtain
obtenir get
blanche blanche
blanche white
angeles angeles
belle beautiful
belle belle
belle lovely
motif motive
motif pattern
motif motif
aire aire
continue continues
continue continuous
continue continuing
continue continue
chant song
chant chant
chant vocal
chant vocals
chant singing
mondial worldwide
mondial world
mondial mondial
mondial global
colonel colonel
longtemps long
chinois chinese
soleil sun
soleil sunshine
utilisateur user
allemands german
allemands germans
moscou moscow
sportif sport
amis friends
amis friend
lnh nhl
toulouse toulouse
peinture paint
peinture painting
inclinaison tilt
inclinaison incline
inclinaison inclination
figure figure
mexique mexico
limite limits
limite limit
gens people
guitare guitar
html html
contenu content
contenu contents
star star
photo photo
photo picture
canal canal
canal channel
vincent vincent
jouer play
jouer playing
jules jules
jules julius
polonais polish
polonais poles
polonais pole
analyse analysis
noire noire
noire black
recherches searches
recherches search
recherches research
offre offers
offre offer
sauf except
max max
existence existence
eaux water
eaux waters
love love
uniquement only
mes my
dessous below
smith smith
contient contains
bleu blue
bleu bleu
asie asia
jack jack
www www
guy guy
signifie means
tome tome
objets objects
sommet summit
border border
faits facts
construite built
construite constructed
licence licence
licence license
juifs jewish
juifs juifs
juifs jews
suit follows
lance lance
lance spear
fonds fund
fonds funds
ehess ehess
besoin needed
besoin need
fondateur founder
avance advance
grec greek
bordeaux bordeaux
soldats soldiers
mark mark
chicago chicago
provence provence
publie publishes
publie publish
religion religion
successeur successor
somme somme
somme sum
sports sports
ceci this
maritime maritime
voies lanes
cardinal cardinal
exploitation exploitation
sert serves
lorraine lorraine
lutte wrestling
lutte fight
lutte struggle
parents parents
parents parent
rose pink
rose rose
disque disk
disque disc
recensement census
philosophie philosophy
cycliste cyclist
cycliste cycliste
collaboration collaboration
ouvert open
ouvert opened
ouvert unlocked
parler talking
parler talk
parler speak
expression expression
difficile hard
difficile difficult
inconnu unknown
tom tom
champions champions
meilleurs better
meilleurs best
animaux pets
animaux animals
cheval horses
cheval horse
cheval cheval
soutien support
navires ships
navires vessels
milan milan
milan milano
rive rive
rive shore
animation animation
raymond raymond
communication communication
petites small
commun common
jardin garden
min min
avion aircraft
avion plane
avion aeroplane
avion airplane
paroisse parish
internes interns
internes internal
mots words
portugal portugal
devint became
vert green
vert vert
strasbourg strasbourg
personnel personal
personnel personnel
personnel staff
local local
frank frank
olivier oliver
olivier olivier
catherine catherine
historien historian
inde inde
inde india
relation relation
relation relationship
suivantes following
navire vessel
navire ship
baptiste baptiste
baptiste baptist
maisons houses
apparition apparition
apparition appearance
manque lack
manque missing
plein full
naturel natural
opposition opposition
franco franco
simplement simply
simplement just
essentiellement essentially
essentiellement mostly
essentiellement mainly
essentiellement basically
pourtant yet
adaptation adaptation
argument argument
semaines week
semaines weeks
familles families
familles family
gardien guardian
gardien guard
gardien custodian
gardien keeper
gardien goalkeeper
appelle call
dramatique dramatique
dramatique drama
dramatique dramatic
restauration catering
restauration restoration
draft draft
marne marne
prison jail
prison prison
distance distance
tradition tradition
savoie savoie
savoie savoy
connaissance acquaintance
connaissance knowledge
marche marche
marche walking
marche march
marche walk
jaune yellow
serbie serbia
permettent allow
telle such
traitement processing
traitement treatment
masse mass
arc rainbow
arc arc
arc cra
arc bow
tombe falls
tombe tomb
tombe tombe
tombe grave
risque risk
risque hazard
socialiste socialist
notables noteworthy
notables notable
notables notables
vrai real
vrai true
baseball baseball
arabe arab
arabe arabic
arabe arabian
acte act
acte deed
arthur arthur
live live
major major
santa santa
civile civil
civile civilian
essai essay
essai testing
essai trial
essai test
anglaise english
albums albums
reprend resumes
termes terms
permis permit
permis licence
permis license
permis permits
nantes nantes
filles girls
filles babes
filles daughters
midi noon
midi midday
midi midi
aura aura
pdf pdf
ciel heaven
ciel ciel
ciel sky
anti anti
rang rank
rang row
occidentale west
occidentale western
washington washington
rurale rural
maladie illness
maladie sickness
maladie disease
king king
dictionnaire dictionnaire
dictionnaire dictionary
portant wearing
portant bearing
officielle official
futur future
objectif objective
objectif lens
objectif purpose
objectif goal
objectif target
cap cape
cap cap
sorte sort
actes acts
actes deeds
irlande ireland
occupe occupies
hongrie hungary
peine sentence
peine sorrow
peine penalty
peine pain
britanniques british
absence absence
importants important
guerres wars
yves yves
yves stanley
chanteuse singer
crise crisis
brigade squad
brigade brigade
chapitre chapter
tient holds
madrid madrid
cordialement sincerely
cordialement cordially
cordialement thanks
drapeau flag
application application
application app
responsable responsible
responsable maintainer
circuit circuit
japonaise japanese
banque banking
banque bank
danse dance
danse dancing
officiellement formally
officiellement officially
fleuve fleuve
fleuve river
univers universe
villages villages
critiques criticism
critiques critics
critiques reviews
critiques critical
vraiment truly
vraiment really
argentine argentina
argentine argentine
salon lounge
salon salon
largement widely
die die
jazz jazz
trente trente
trente trento
trente thirty
julien julian
julien julien
chasse hunting
chasse hunt
paru appeared
processus process
processus processes
gaz gas
gaz gaz
gaz gases
propres own
mixte mixed
gmina gmina
juan juan
lee lee
rapide rapid
rapide fast
rapide quick
agriculture agriculture
traduit translates
traduit translated
traduit translate
chœur choir
chœur chorus
naturelle natural
plantes plants
permettre allow
fusion merger
fusion merge
fusion fusion
fusion melting
commandement commandment
commandement command
portrait portrait
mairie mairie
choses things
jan jan
sang sang
sang blood
jeanne jane
jeanne jeanne
indique indicates
yeux eyes
yeux eye
all all
types types
moyens means
reprise resumed
reprise resume
reprise reprise
retraite retirement
retraite retired
retraite pension
retraite retreat
description description
ferroviaire railway
ferroviaire rail
ferroviaire railroad
table table
antonio antonio
magnitude magnitude
emploi jobs
emploi employment
promotion promotions
promotion promotion
alliance alliance
obtenu obtained
quel what
importantes important
brun brown
faune wildlife
faune fauna
faune hiking
originaire originating
faite made
faite done
actions shares
actions actions
baron baron
contributeurs contributor
contributeurs contributors
biographie bio
biographie biography
effets effects
effets effect
bosnie bosnia
explique explain
explique explains
avenue avenue
blocage locking
blocage blocking
blocage block
dominique dominic
dominique dominique
dominique dominica
nœud node
nœud knot
serbe serb
serbe serbian
christophe chris
christophe christopher
christophe christophe
atelier workshop
atelier atelier
auguste auguste
auguste augustus
raisons reasons
raisons reason
devrait should
francis francis
atlantique atlantic
bout bout
cent hundred
cent cent
voiture car
agent agent
disney disney
chute waterfall
chute fall
chute falling
communiste communist
documentaire documentary
cartes cards
cartes maps
cartes map
secret secret
secret secrecy
couple couple
couple torque
publics public
col col
col collar
mary mary
mines mining
mines mines
alsace alsace
mains hands
alfred alfred
locaux premises
locaux local
locaux locals
soir evening
soir night
coureur runner
coureur racer
coureur coureur
bateau boat
musicale musical
connexe related
changement change
telles such
vite quick
vite fast
vite quickly
rhin rhine
normandie normandie
normandie normandy
culturel cultural
variation variance
variation variation
romans romans
romans novels
sportive sport
sportive sporty
bourg bourg
rejoindre join
rejoindre joining
hommage homage
hommage tribute
collecte collecting
collecte fundraiser
collecte collection
faveur favor
faveur favour
transports transports
transports transportation
transports transport
seuls alone
rio rio
juge judge
francisco francisco
lille lille
complexe complex
und und
concept concept
universitaire university
universitaire academic
titulaire holder
contexte background
contexte context
contact contact
fortement strongly
fortement heavily
vis screws
vis vis
vis screw
concert concert
lois laws
lois lois
douze twelve
douze douze
ferme farmhouse
ferme farm
one one
correspond corresponds
hautes high
hautes hautes
massif solid
massif massif
massif massive
vente sale
vente sales
culte cult
culte worship
avocat attorney
avocat avocado
avocat lawyer
bras bras
bras arms
bras arm
calais calais
proposition proposal
conduit driven
conduit conduit
appartenant belonging
appartenant owned
perdu lost
nice nice
visite visit
visite tour
solution solution
atteindre reach
atteindre reaching
volley volley
volley volleyball
promu promoted
portes gates
portes doors
informatique computers
informatique computing
conception conception
conception design
mur wall
scientifiques scientific
scientifiques scientists
tourisme tourism
passant passant
passant passing
luc luke
luc luc
statue statue
photos photos
photos pics
photos pictures
construire build
construire construct
tente tent
scott scott
contrairement contrary
contrairement unlike
utilisant using
huile oil
convention convention
orient east
orient orient
dessin design
dessin drawing
barcelone barcelona
manuel manuel
manuel manual
joe joe
espagnole spanish
pression pressure
maroc morocco
maroc maroc
faux wrong
faux false
faux fake
christ christ
colombie columbia
colombie colombia
baie berry
baie baie
baie bay
documents documents
bourgogne bourgogne
bourgogne burgundy
contraire contrary
contraire opposite
destination destination
destination destinations
champs fields
vierge virgo
vierge virgin
vierge blank
lesquels which
enfance childhood
acteurs actors
candidat applicant
candidat candidate
dates dates
cercle circle
essais tests
essais testing
essais essays
aider helping
aider help
mention mention
agence agency
perd lose
perd loses
mari mari
mari husband
pouvait could
cycle cycle
chemins paths
chemins roads
renaissance renaissance
renaissance rebirth
sais know
hall hall
hall lobby
attention attention
jones jones
marin marin
marin sailor
marin marine
domaines domains
domaines fields
domaines areas
usine plant
usine factory
fontaine fountain
fontaine fontaine
parlementaire parliamentary
parlementaire parliamentarian
roland roland
printemps spring
printemps springtime
printemps printemps
chris chris
gabriel gabriel
xixe xix
xixe nineteenth
dos dos
dos back
dos backs
anomalie abnormal
anomalie abnormality
anomalie anomaly
ign ign
majeur major
beau beautiful
beau beau
beau handsome
villa villa
lecture read
lecture reading
montage montage
montage mounting
montage editing
montage installation
dollars dollars
dollars dollar
professionnelle professional
masculin male
masculin masculine
cantons cantons
branche branch
batterie battery
batterie batteries
batterie drum
batterie drums
pointe tip
pointe pointe
nancy nancy
amateur amateur
ascendant ascendant
ascendant ascending
assurer insure
sait knows
caroline caroline
caroline carolina
participer participating
participer participate
clair clear
clair clair
test test
test testing
west west
relativement relatively
exemplaires exemplary
exemplaires copies
versions versions
venir come
venir coming
laisser leave
gilles giles
gilles gilles
plateau platter
plateau tray
plateau plateau
bataillon bataillon
bataillon battalion
vin vin
vin wine
devenue became
vivant living
vivant live
vivant alive
ressources resources
ajouter add
rencontres encounters
rencontres meetings
rencontres dating
demander ask
demander request
territoires territories
png png
mike mike
revanche payback
revanche rematch
revanche revanche
revanche revenge
recueil compendium
recueil compilation
recueil collection
recueil recueil
net net
endroit place
intervention intervention
auparavant previously
auparavant formerly
auparavant before
bob bob
combats fights
combats fighting
tokyo tokyo
totale total
finales finals
bus bus
bus buses
certaine certain
comprendre understand
comprendre understanding
vivre living
vivre live
edward edward
ordres orders
arme weapon
arme gun
dynastie dynasty
erreur mistake
erreur error
publications posts
publications publications
coll coll
organisme body
organisme organism
williams williams
google google
arbre tree
tribunal tribunal
tribunal court
tribunal courthouse
appartient belongs
walter walter
euros euro
euros euros
avions aeroplanes
avions airplanes
avions aircraft
avions planes
participants participants
participants attendees
dvd dvd
dvd dvds
artillerie artillery
mesures measures
mesures measurements
mesures measurement
occupation occupancy
occupation occupation
vent wind
logiciel software
danemark denmark
administrateur admin
administrateur administrator
vos your
bruno bruno
travailler work
travailler working
mouvements movements
mouvements movement
princesse princess
germain germain
oiseaux oiseaux
oiseaux birds
oiseaux bird
homonymie disambiguation
race breed
race race
disponible available
totalement fully
totalement completely
totalement totally
continentale continental
continentale mainland
ski ski
ski skiing
ouvre opens
machine machine
sujets topics
sujets subjects
luxembourg luxemburg
luxembourg luxembourg
antique antique
manche manche
manche sleeve
monte monte
canadienne canadian
buteur striker
dimanche sundays
dimanche sunday
fil feed
fil wire
fil yarn
fil thread
suivre follow
accident accident
accident crash
discours speeches
discours speech
bill bill
finaliste finalist
humaine human
nationales national
usa usa
riche rich
riche wealthy
langage language
feuilles leaf
feuilles leaves
feuilles sheets
spectacle show
plans plans
