que that
bien good
bien well
bien fine
segundo second
mar mar
mar sea
mar ocean
poco little
orden order
estadounidense american
agua water
tierra earth
tierra land
tierra tierra
tierra soil
ellos them
ellos they
earth earth
fecha date
trabajo job
trabajo work
especie species
luis louis
luis louie
luis ludwig
luis luis
caso case
dentro inside
obras works
obras plays
color color
color colour
distrito district
superficie surface
superficie area
copa copa
copa cup
muchos many
francisco francisco
francisco francis
les les
siguiente following
siguiente next
grandes large
grandes big
grandes grandes
censo census
liga league
liga liga
estas these
muerte death
medio medium
medio medio
medio half
menos minus
menos less
largo largo
largo long
buenos good
hijo son
hecho made
hecho done
hecho fact
algunas some
carrera career
carrera race
carrera carrera
poder power
pueblo town
pueblo pueblo
pueblo people
pueblo village
departamento department
departamento apartment
localidades places
localidades locations
localidades localities
hizo did
veces times
reino kingdom
central central
todas all
york york
ejemplo sample
ejemplo example
padre father
isbn isbn
campo countryside
campo field
campo camp
campo campo
isla island
isla isla
hacer do
hacer make
hacer making
misma same
ante suede
ante ante
conocido known
conocido acquaintance
http http
frente front
frente forehead
frente brow
antonio anthony
antonio tony
antonio antony
antonio antonio
director director
partir depart
varias several
varias various
actual current
momento timing
momento moment
lista ready
lista list
jpg jpg
densidad density
campeonato championships
campeonato championship
tarde late
tarde evening
tarde afternoon
tienen have
porque because
observatorio observatory
aires airs
aires aires
actualmente currently
desarrollo development
escuela schools
escuela school
programa program
programa programme
importante important
canciones songs
uso usage
uso uso
uso use
juegos gaming
juegos games
localidad locality
base base
punto punto
punto dot
punto point
alemania germany
alemania wehrmacht
partidos matches
grupos groups
john john
miembros memberships
miembros membership
miembros members
pedro pedro
pedro peter
capital capital
primeros early
primeros firsts
primeros first
teatro theater
teatro theatre
cualquier any
datos data
manera way
laboratorio laboratory
laboratorio lab
socorro relief
libro book
estudios studios
estudios studies
diferentes different
barcelona barcelona
nivel level
llamado called
edad age
juego gaming
juego game
juego gambling
arte arts
arte art
arte artwork
especies species
europa europe
europa europa
estilo style
estilo styling
cine cinema
cine movie
cine movies
cine cinemas
cine films
cine film
proyecto project
center center
costa costa
costa coastline
costa coast
equipos equipment
equipos equipments
equipos teams
origen origin
origen source
origen origins
museo museum
puntos dots
puntos points
puntos stitches
militar military
ubicado located
italia italia
italia italy
manuel manuel
manuel manny
manuel emmanuel
tener having
tener have
wikipedia wikipedia
plantas plants
plantas plant
debe owes
debe must
siempre always
metros meters
metros meter
metros metres
oro golden
oro gold
posteriormente subsequently
posteriormente later
casi almost
casi nearly
local local
cultura culture
cultura cultural
santiago james
santiago santiago
cerca close
cerca near
cerca nearby
estudio study
estudio studio
principales main
usuario user
com com
finalmente finally
cinco cinco
cinco five
anterior anterior
anterior earlier
anterior previous
cargo cargo
cargo charge
batalla battle
derecho right
derecho law
imagen image
gracias thanks
gracias thank
kitt kitt
puerto puerto
puerto port
puerto harbour
torneo tournament
mucho much
social social
millones million
millones millions
comunidad community
fin end
fin fin
acuerdo agreement
acuerdo arrangement
lado side
colombia columbia
colombia colombian
colombia colombia
servicio service
rock rock
ver see
ver view
fuera outside
fuera out
pesar regret
mediante through
popular popular
muchas many
hoy today
tal tal
tal such
alto alto
alto high
alto halt
alto tall
cuerpo body
sino sino
sino but
siguientes following
disco album
disco disco
disco disc
disco disk
finales endings
finales finals
finales final
sociedad society
sociedad partnership
sociedad sociedad
tema topic
tema theme
tema subject
hombres men
hombres mens
original original
estadio arena
estadio estadio
estadio stadium
ambos both
miguel mike
miguel miguel
miguel michael
ley ley
ley law
ley act
oeste west
oeste western
mujeres womens
mujeres mujeres
mujeres women
obs obs
incluso even
cambio change
cambio exchange
style style
jugador player
jugador gambler
jugador gamer
instituto institute
miembro member
miembro limb
pues well
superior superior
superior higher
media media
media average
california california
parque park
tan tan
archivo archive
archivo file
archivo archives
radio radio
ahora now
world world
cruz cruz
cruz tails
cruz cross
cest cest
cabo corporal
cabo cape
cabo cabo
brasil brazil
brasil brasil
unido united
red network
red grid
red net
red red
canal canal
canal channel
movimiento motion
movimiento move
movimiento movement
revista magazine
revista journal
elecciones election
elecciones elections
plaza plaza
plaza square
grande large
grande big
grande grande
islas islands
proceso process
alrededor around
musical musical
primero first
territorio territory
dice says
hombre man
algo something
voz voice
madre mother
iii iii
monte mount
monte monte
decir say
decir tell
goles goals
victoria victoria
sede headquarters
sede headquarter
importantes important
resultado outcome
resultado result
china china
xix xix
xix nineteenth
calle calle
calle street
papel paper
van van
medios media
medios means
francesa french
dio dio
dio gave
aparece appears
empresa company
empresa business
empresa enterprise
fernando fernand
fernando ferdinand
fernando fernando
don don
propio own
mapa map
mapa maps
civil civil
civil civilians
civil civilian
venezuela venezuela
llamada call
llamada called
ciudades towns
ciudades cities
alta high
alta alta
igual equal
igual same
usa usa
londres london
tercera third
edificio building
fallecimiento death
fallecimiento demise
fuerzas forces
posible possible
antiguo antique
antiguo ancient
antiguo old
antiguo former
natural natural
paso step
paso paso
paso pass
mujer wife
mujer woman
mujer female
mujer women
fuerza strength
fuerza force
altura height
hijos sons
etc etc
servicios services
villa villa
villa village
conocida known
autor author
modo mode
personajes characters
conjunto set
conjunto ensemble
eso that
meses months
actor actor
parece seems
parece looks
antigua antique
antigua ancient
antigua old
antigua antigua
especial specials
especial special
interior inner
interior interior
plata silver
lemmon lemmon
municipal municipal
control control
consejo advice
consejo tip
consejo council
menor lesser
menor minor
seis seis
seis six
libre free
llegar arriving
llegar arrive
valle valle
valle valley
festival festival
personaje character
trata treats
trata trafficking
principalmente mainly
principalmente primarily
principalmente mostly
david david
castillo castle
castillo castillo
publicado published
publicado posted
cantante singer
referencia benchmark
referencia referencing
referencia reference
inglaterra england
resto rest
editorial publisher
editorial publishing
editorial editorial
deporte sport
deporte sports
saint saint
espacio spacing
espacio space
hija daughter
actores actors
hermano bro
hermano brother
blanco targets
blanco white
blanco blank
blanco target
blanco blanco
profesional professional
episodio episode
cultural cultural
principios principles
principios principle
imperio empire
dicho said
nunca never
prefijo prefix
estar being
estar be
municipios municipalities
from from
problemas troubles
problemas trouble
problemas problems
problemas problem
modelo model
svg svg
favor favor
favor please
favor favour
actividad activity
joven young
lugares places
lugares locations
incluyendo including
planta plants
planta plant
planta floor
ronda ronda
ronda round
clase class
especialmente particularly
especialmente especially
especialmente specially
oficina bureau
oficina office
alcalde mayor
estaban were
longitud length
longitud longitude
temas topics
temas themes
temas issues
deportivo sporting
deportivo deportivo
deportivo sports
arquitectura architecture
barrio neighborhood
barrio barrio
barrio neighbourhood
argentino argentinean
argentino argentino
argentino argentinian
argentino argentine
libros books
novela novel
jorge jorge
jorge george
razas breed
razas races
razas breeds
academia academy
academia academia
jefe chief
jefe boss
defensa defense
defensa defence
honor honour
honor honor
incluye include
incluye includes
existen exist
amor amor
amor love
fuente source
fuente font
fuente fountain
fuente fuente
nuevos new
nombrado named
nombrado appointed
existe exists
ellas them
ellas they
derechos copyright
derechos rights
ministro minister
series series
texto text
escritores writers
actriz actress
persona person
capacidad capability
capacidad capacity
capacidad ability
capacidad capabilities
artes arts
artes gear
artes gears
cantidad amount
cantidad quantity
situada situated
fuentes sources
fuentes fonts
fuentes fountains
fuentes fuentes
vista vista
vista view
luz light
luz luz
baja baja
baja low
paz paz
paz peace
tercer third
vuelta lap
vuelta return
vuelta vuelta
noche evening
noche night
muestra sample
muestra shows
rusia russian
rusia russia
personal personal
personal personnel
personal staff
robert robert
aeropuerto airport
apoyo support
semana week
palacio palacio
palacio palace
propia own
escritor writer
castilla castile
castilla castilla
castilla castille
profesor professor
profesor teacher
comuna commune
roma rome
roma roma
casos cases
negro nigga
negro black
negro negro
camino path
camino road
camino way
camino camino
ayuda help
ayuda aid
nombres names
causa cause
causa causes
horario timetable
horario hours
horario schedule
ciencias science
ciencias sciences
principio principle
periodo period
nacimiento birth
nada nothing
nada nada
etapa phase
etapa stage
actualidad current
actualidad topical
santo santo
santo holy
santo saint
zonas zones
zonas areas
referencias referencing
referencias referrals
referencias references
ediciones editions
ediciones edits
dios god
debut debut
presente present
congreso congress
guitarra guitar
australia australia
pablo paul
pablo barney
pablo pablo
elementos elements
relaciones relationships
relaciones relationship
relaciones relations
compuesto composite
compuesto compound
horas hours
partes parts
text text
lengua tongue
lengua language
diversos miscellaneous
militares military
torre torre
torre tower
torre rook
dado given
actividades activities
nacionales national
nacionales nationals
nuevas new
sencillo simple
sencillo single
sencillo easy
federal federal
fuerte strong
fuerte fuerte
fuerte fort
italiano italian
primeras firsts
primeras first
posee possesses
posee owns
jugadores players
jugadores gamers
jugadores gamblers
lleva carries
seguridad security
seguridad safety
empresas businesses
empresas companies
empresas enterprises
mercado mercado
mercado marketplace
mercado market
lucha wrestling
lucha struggles
lucha fighting
lucha fight
lucha struggle
estructura structure
cet cet
nacido born
enrique henri
enrique enrique
enrique harry
enrique henry
literatura literature
armas arms
armas weapons
armas firearms
armas guns
idioma language
valencia valencia
valencia valence
cabeza head
cabeza heads
gobernador governor
cuyo whose
mes month
situado located
situado situated
diferencia variance
diferencia difference
objetivo target
objetivo objective
objetivo goal
ruta route
ruta ruta
india indian
india india
flores flowers
flores flower
flores flores
visita visiting
visita visit
conde count
conde earl
conde conde
fase phase
william william
resultados results
nos we
nos us
tales such
tales tales
https https
presenta presents
dar dar
dar give
colegio school
colegio college
occidental occidental
occidental west
occidental western
aproximadamente approximate
aproximadamente approximately
aproximadamente roughly
ocasiones occasions
tropas troops
tropas troop
presencia presence
permite allows
permite permits
sentido sense
uruguay uruguayan
uruguay uruguay
ficha tab
top top
siete siete
siete seven
ets std
ets ets
ets stds
animales kennels
animales animals
animales animal
animales pets
esposa wife
catalina katherine
catalina catalina
catalina catherine
may may
realizar perform
realizar performing
bar bar
medalla medal
usuarios users
usuarios user
programas programmes
programas programs
des des
calidad quality
artistas artist
artistas performers
artistas artists
similar similar
nuestra our
nuestra ours
nuestra nuestra
independencia independence
buena buena
buena good
sistemas systems
significa means
paul paul
virgen virgin
virgen madonna
transporte transportation
transporte transport
pueblos towns
pueblos villages
pueblos peoples
coordenadas coordinate
coordenadas coordinates
vol vol
valor courage
valor value
valor valor
internacionales international
unidad unity
unidad unit
crear create
crear creating
inicio home
inicio start
salud cheers
salud health
contiene contains
sierra sierra
idea idea
minutos minutes
minutos min
diego diego
verano summer
sol sun
sol sunshine
sol sol
entrada entry
entrada entrance
entrada input
mejores better
mejores best
mando command
james james
ciencia science
dirigida directed
records records
aire air
sector sector
importancia importance
importancia significance
ataque attack
flora flora
jean jean
puente bridge
matrimonio marriage
material material
material materials
humanos humans
humanos human
mitad half
realidad reality
gente people
escudo shield
escudo shields
aguas aguas
aguas waters
acceso access
acceso accessing
mano mano
mano hand
sigue follow
cuya whose
sociales social
problema problem
trabajos work
trabajos jobs
trabajos works
elegido chosen
elegido elected
independiente independent
independiente freelance
independiente independiente
futbolista footballer
comercial commercial
metal metal
diario daily
diario diary
diario journal
palabra word
falta lack
falta missing
reina queen
reina reina
corte corte
corte cutting
corte cut
corte court
domingo sunday
libertad freedom
libertad freedoms
libertad liberty
libertad libertad
xviii xviii
xviii eighteenth
unidades units
bgcolor bgcolor
sevilla seville
video video
considerado considered
considerado thoughtful
considerado considerate
lima lima
lima lime
alberto albert
alberto alberto
alberto steven
comienza begins
comienza starts
velocidad velocity
velocidad speed
felipe felipe
felipe philip
felipe phillip
objetos objects
ministerio ministry
creado created
xvi xvi
xvi sixteenth
oriental oriental
oriental eastern
hermanos brethren
hermanos siblings
hermanos brothers
edificios buildings
tierras lands
tierras earths
tierras land
cosas things
cosas stuff
michael michael
izquierda left
cambios changes
cambios change
alfonso afonso
alfonso alphonse
alfonso alfonso
lanzado released
lanzado launched
bandera flag
bandera banner
videojuegos videogames
videojuegos gaming
rica rich
rica rica
verde green
templo temple
raza raza
raza breed
raza race
avenida avenue
regional regional
posterior subsequent
posterior posterior
biblioteca library
rojo red
utiliza uses
dijo said
reporte report
blancos whites
blancos white
blancos targets
diez diez
diez ten
ecuador equator
ecuador ecuador
productos commodities
productos products
portugal portugal
salvador saviour
salvador savior
salvador salvador
manos hands
carretera highway
carretera road
escrito written
industria industries
industria industry
industria handyman
entrenador trainer
entrenador coach
palabras words
padres fathers
padres parents
padres parent
fondo fund
fondo background
productor producer
gira tour
ninguna none
encontrar finding
encontrar find
plan plan
artista entertainer
artista performer
artista artist
formas shapes
formas forms
formas ways
von von
rafael raphael
rafael rafael
jun jun
catedral cathedral
generalmente generally
generalmente usually
cuarto room
cuarto fourth
saludos greetings
temporadas seasons
ambas both
cadena cadena
cadena string
cadena chain
music music
reyes kings
reyes reyes
combate combat
combate battle
mayores seniors
mayores older
azul blue
motivo motif
motivo motive
motivo reason
motivo plea
pasado past
medida measure
medida measurement
medida measured
influencia influence
influencia sway
lago lake
condiciones terms
condiciones conditions
oficiales officials
oficiales officers
hospital hospital
ocho eight
ocho ocho
fuego fire
piedra stone
piedra rock
sub sub
black black
tratado treatise
tratado treaty
mil thousand
mil mil
comercio commerce
comercio trading
comercio trade
pop pop
distancia distance
estudiantes students
estudiantes student
internet internet
episodios episodes
propiedad property
propiedad ownership
marca brand
marca trademark
marca mark
tipos types
baloncesto basketball
ene jan
contenido content
contenido contents
anteriores earlier
anteriores previous
haciendo doing
haciendo making
sala sala
sala room
estrella estrella
estrella star
viaje voyage
viaje travel
viaje journey
viaje trip
rosa pink
rosa rose
rosa rosa
realizado performed
formato formatting
formato format
tour tour
prueba try
prueba test
prueba proof
peso weight
peso peso
washington washington
mal wrong
mal bad
mal mal
mal evil
jersey sweater
jersey jersey
locales premises
locales local
locales locals
der der
marco marcus
marco frame
marco marco
sep pmi
sep sep
llega arrives
daniel daniel
musicales musicals
musicales musical
eduardo eduardo
eduardo edward
oct oct
acerca about
duque duke
duque duque
amigo friend
evitar avoiding
evitar avoid
evitar avoidance
emperador emperor
restos remains
ingresos revenue
ingresos earnings
ingresos income
ingresos revenues
ingresos receipts
santos santos
santos saints
obispo bishop
menudo often
pocos few
mediados mid
toma toma
toma take
toma takes
campos fields
campos campos
campos camps
nov nov
mexicano mexican
europea european
justicia justice
justicia righteousness
justicia fairness
ago ago
ago aug
bastante fairly
bastante pretty
love love
deben must
realiza performs
dic dec
dic cid
dic dic
ana ana
ana anne
ana anna
naturales natural
alejandro alejandro
alejandro alexander
figura figure
soldados soldiers
soldados welded
soldados soldier
blanca blanche
blanca blanca
blanca white
aves poultry
aves birds
aves bird
peter peter
pie foot
pie pie
hora hour
hora time
amigos friends
particular particular
numerosos numerous
maestro maestro
maestro master
maestro teacher
cuba cuban
cuba cuba
asia asian
asia asia
casas homes
casas casas
casas houses
motor engine
motor motor
efecto effect
completo full
completo complete
sencillos singles
crecimiento growth
doctor doctor
autores authors
junta gasket
junta board
junta junta
europeo european
nuevamente again
grado grade
grado degree
facultad faculty
extremo extreme
tradicional traditional
derecha right
plantilla staffing
plantilla template
votos votes
votos vows
banco banco
banco bank
banco bench
contrato contract
pintura paint
pintura painting
ruso russian
cuenca basin
cuenca cuenca
cuenca watershed
diputados mps
diputados members
diputados deputies
pasa happens
pasa passes
pasa pass
deportes sport
deportes sports
representa represents
representa depicts
representa represent
recursos resource
recursos resources
compositor songwriter
compositor composer
corresponden correspond
futuro future
futuro futures
utilizado used
vicente vicente
vicente vincent
vicente val
trabajar work
trabajar working
distintos different
considera considers
tiempos times
fiesta fiesta
fiesta party
smith smith
madera wooden
madera wood
madera lumber
madera timber
inferior lower
inferior inferior
inferior bottom
clubes clubs
mexicana mexicana
mexicana mexican
incluyen include
alcanzar reaching
frontera border
frontera boundary
frontera frontier
hab hab
digital digital
torres towers
torres torres
doble double
referirse refer
comandante major
comandante commandant
comandante commander
esos those
secretario registrar
secretario secretary
letras letters
letras lyrics
lenguas languages
vivo vivo
vivo alive
xvii seventeenth
xvii xvii
encuentro meeting
encuentro encounter
obtener obtain
obtener get
originalmente originally
naturaleza nature
claro clear
claro sure
claro claro
existencia existence
man man
guatemala guatemala
guatemala guatemalan
bajos low
bajos bass
juega play
juega plays
rico rico
rico yummy
rico rich
sonido sound
usar use
mensajes messages
mensajes messaging
mensajes message
firme firm
firme sign
mesa table
mesa mesa
granada grenada
granada pomegranate
granada granada
granada grenade
antiguos ancient
antiguos ancients
pasar pass
objeto object
generales generals
generales general
formado formed
apertura aperture
apertura openness
apertura opening
naciones nations
familias families
ferrocarril railways
ferrocarril rail
ferrocarril railway
ferrocarril railroad
notas notes
american american
proyectos projects
white white
funciones functions
funciones features
corona krona
corona crown
corona corona
clima climate
clima weather
guillermo william
guillermo guillermo
guillermo wilhelm
prensa press
prensa newspapers
haya hague
haya beech
escena scene
provincial provincial
versiones versions
www www
isabel isabella
isabel elizabeth
isabel isabelle
isabel elisabeth
isabel isabel
isabel isobel
numerosas numerous
puerta gate
puerta door
mario mario
mario marius
romano roman
romano romano
griego greek
thomas thomas
all all
habla talk
habla speaks
habla speak
cierto true
crisis crises
crisis crisis
efectos effects
memoria memory
orquesta orchestra
siglos centuries
mantener keeping
mantener maintain
mantener keep
austria austria
llegada arrival
construido built
construido constructed
martin martin
llama flame
llama call
directamente straight
directamente direct
directamente directly
lanzamiento release
lanzamiento launches
lanzamiento launching
lanzamiento launch
javier xavier
javier javier
capilla chapel
probablemente probably
probablemente likely
larga long
colspan colspan
bolivia bolivian
bolivia bolivia
poeta poet
provincias provinces
produce produces
hojas leaves
hojas leaf
hojas sheets
hojas blades
ricardo richard
ricardo ricardo
tomar take
necesario necessary
periodista journalist
periodista reporter
texas texas
jugar play
jugar playing
papa dad
papa pope
papa potato
papa papa
latinos latinos
latinos latino
firma signing
firma signature
firma sign
nacionalidad nationality
nacionalidad citizenship
patrimonio patrimony
patrimonio estate
patrimonio heritage
regiones regions
hermana sister
decide decides
decide decide
alianza alliance
alianza alianza
respuesta answer
respuesta reply
respuesta response
google google
pruebas tests
pruebas testing
pruebas proof
pruebas evidence
richard richard
metro subway
metro metro
marina marina
marina navy
marina marines
marina marine
eventos events
exterior outdoor
exterior outside
exterior external
exterior exterior
visto spotted
visto watched
visto viewed
visto seen
aquellos those
suiza switzerland
suiza swiss
coronel colonel
coronel coronel
parroquia parish
dan dan
anteriormente previously
anteriormente earlier
anteriormente formerly
grecia greece
zaragoza zaragoza
industrial industrial
industrial industrialist
cuadro table
cuadro painting
fundada founded
enfermedad illness
enfermedad disease
enfermedad sickness
nba nba
colonia cologne
colonia colonia
colonia colony
show show
national national
dinero money
dinero cash
suelo floor
suelo soil
operaciones operations
operaciones transactions
concepto concept
calles streets
calles street
hechos facts
ambiente atmosphere
ambiente ambiance
ambiente environment
ambiente ambient
ambiente ambience
pronto soon
hall hall
recibe receive
recibe receives
salida output
salida exit
salida departure
salida outlet
italiana italian
acciones shares
acciones actions
acciones stocks
acciones stock
pertenece belongs
cristo christ
cristo cristo
medicina medicine
medicina medical
modelos models
modelos model
venta sell
venta selling
venta sale
venta sales
fundador founder
piano piano
procedencia origin
procedencia source
procedencia provenance
roberto robert
roberto roberto
ganar win
ganar winning
pintor painter
evento event
campeonatos championships
campeonatos championship
alemana german
rosario rosary
rosario rosario
menores underage
menores minors
menores minor
solamente only
hispanos hispanic
hispanos hispanics
conocimiento knowledge
conocer meet
debajo underneath
debajo below
debajo under
bronce brass
bronce bronze
tabla table
tabla board
vio saw
armada navy
armada armada
armada armed
armada army
pareja couple
pareja couples
pareja pair
pareja partner
producto product
producto proceeds
territorios territories
gol gol
gol goal
ingeniero engineer
luna luna
luna moon
reconocimiento attribution
reconocimiento acknowledgement
reconocimiento recon
reconocimiento reconnaissance
reconocimiento recognition
escrita written
organizaciones organizations
organizaciones organisations
llevar carry
adelante forward
asamblea assembly
cerro cerro
cerro hill
enlace liaison
enlace link
contaba counted
fundado founded
paraguay paraguay
alguien anyone
alguien someone
alguien somebody
ganador winner
estrellas stars
sangre blood
resistencia stamina
resistencia endurance
resistencia resistance
resistencia resilience
conflicto conflicts
conflicto conflict
software software
volumen volume
xxi xxi
humano human
dirigido directed
consecuencia consequence
aparecen appear
colores colours
colores colors
per per
materiales material
materiales materials
carta charter
carta letter
centros centers
centros centres
curso course
tenido had
fiestas festivities
fiestas parties
fiestas festivals
fiestas holidays
simplemente simply
simplemente just
franco frank
franco franco
franco franc
temperatura temperature
propuesta proposal
propuesta proposition
propuesta proposed
eds eds
decreto decree
cara cara
cara face
carolina caroline
carolina carolina
lee lee
residiendo residing
maria mary
maria maria
editor publisher
editor editor
polonia polish
polonia poland
hogar household
hogar home
experiencia expertise
experiencia experience
abierto open
noroeste northwestern
noroeste northwest
participantes participating
participantes contestants
participantes participants
participantes participant
instituciones institutional
instituciones institutions
monasterio monastery
castro castro
sean sean
amerindios amerindian
suecia swedish
suecia sweden
inicialmente initially
nota note
concurso competition
concurso contest
seguir follow
altitud altitude
altitud elevation
peces fishes
peces fish
ascenso promotion
ascenso ascent
ascenso climb
planeta planet
monumento memorial
monumento monuments
monumento monument
israel israel
marcha march
turismo tourism
turismo tourist
turismo sightseeing
publicaciones posts
publicaciones publications
publicaciones publishing
frecuencia frequency
semanas weeks
basado based
saber know
saber saber
utilizar use
piezas parts
piezas pieces
participar participate
poner put
poner putting
corea korean
corea korea
borrado deleted
borrado erased
borrado erasure
borrado deletion
carmen carmen
carmen carmel
creada created
estaciones seasons
estaciones stations
escuelas schools
clases lessons
clases classes
clases class
completamente fully
completamente completely
vuelo flying
vuelo flight
xiii xiii
parlamento parliament
titular headline
titular holder
florida florida
descrito described
sabe knows
league league
nave ship
posibilidad possibility
destaca highlights
html html
anderson anderson
directo straight
directo direct
usado used
usado worn
sucesor successor
presidencia chairmanship
presidencia presidential
presidencia presidency
contrario opposite
contrario contrary
totalmente fully
totalmente completely
totalmente totally
oficialmente officially
volver back
autoridades authorities
pista track
pista runway
pista clue
pista hint
iglesias churches
concierto concerto
concierto concert
cuarta fourth
agricultura agricultural
agricultura farming
agricultura agriculture
par pair
par raps
par torque
par par
capaz able
capaz capable
viejo viejo
viejo old
tratamiento treatment
palomar palomar
especiales specials
especiales special
nueve nueve
nueve nine
bosque woods
bosque forest
bosque forests
ganado earned
ganado won
ganado livestock
ganado cattle
carga load
carga cargo
carga loading
carga upload
carga charge
carga loads
quiere wants
letra lyrics
letra letter
letra handwriting
necesidad need
necesidad necessity
dejar leave
consiste consists
registro register
registro record
registro registry
registro registration
regreso comeback
regreso return
regreso back
complejo complex
acto act
life life
indica indicates
indica indica
bandas bands
bandas gangs
voto vote
arquitecto architect
convierte converts
solar solar
playa beach
playa playa
playa beaches
rango range
rango rank
cantantes singers
arriba top
arriba up
arriba above
arriba upstairs
latina latin
latina latina
conseguir get
femenino feminine
femenino female
femenino women
instalaciones installs
instalaciones facilities
instalaciones installations
vive vive
vive live
vive lives
cosa thing
derrota defeats
derrota defeat
vii vii
king king
sola sola
sola alone
basada based
castellano castilian
castellano castellano
castellano spanish
urbano urban
international international
forman forman
oriente east
oriente orient
campeones champions
campeones champs
leyes statutes
leyes law
leyes laws
estructuras structures
entrevista interview
niveles levels
arco arc
arco arch
arco arco
arco bow
justo justo
justo fair
socialista socialist
administrativa administrative
one one
novelas novels
conocidos known
conocidos acquaintances
conocidos acquaintance
super super
discos discos
discos disks
discos records
discos discs
simple simple
listas ready
listas playlists
listas lists
diputado deputy
diputado mep
diputado congressman
ideas ideas
ojos eyes
busca pager
destino destination
destino destiny
destino fate
comarca region
comarca shire
comarca comarca
vasco basques
vasco vasco
vasco basque
contacto contact
reforma reformation
reforma reform
teniendo taking
teniendo having
carreras runs
carreras races
carreras racing
carreras careers
single single
invierno winter
llegaron arrived
nadie nobody
diferente different
park park
romana roman
romana romana
barrios neighbourhoods
barrios barrios
barrios neighborhoods
barrios slums
barrios districts
barrios slum
cree cree
cree believes
ofrece offers
navarra navarre
navarra navarra
relevancia relevance
ancho width
ancho gauge
ancho wide
esas those
boca mouth
boca boca
universal universal
completa complete
producido produced
negra black
dando giving
variedad manifold
variedad variety
dominio domain
dominio domination
dominio dominion
dominio dominance
trabajadores workers
trabajadores workmen
star star
valores securities
valores values
propios own
mas mas
mas more
movimientos movements
movimientos moves
movimientos movement
promedio average
promedio avg
refiere refers
famoso famous
famoso celebrity
compuesta composed
publicada published
publicada posted
terreno land
terreno terrain
terreno ground
respectivamente respectively
similares similar
similares lookalike
construir construct
construir build
toledo toledo
noticias news
miss miss
normalmente usually
normalmente typically
normalmente normally
trayectoria trajectory
piloto pilot
torno lathe
abogado counsel
abogado attorney
abogado lawyer
chicago chicago
figuras figurines
figuras figures
candidato candidate
desarrollado developed
municipales municipal
designado designated
designado appointed
electoral electoral
activo active
activo assets
activo asset
irlanda irish
irlanda ireland
llegando arriving
llegando coming
xii xii
aspecto appearance
aspecto aspect
aspecto looks
solicita requests
conciertos concerts
conciertos gigs
conciertos concert
vecinos neighbors
vecinos neighbours
lorenzo laurence
lorenzo lorenzo
lorenzo lawrence
federico friedrich
federico frederic
federico frederick
federico federico
competencia competitors
